ko_id,gene_name,subcategory,evidence_tier,lambda_original,genus,n_genomes_with_ko,genus_genome_total,presence_fraction,y_transformed
K02068,,,,,carboxydothermus,1,2,0.5,0.7853981633974484
K01534,,,,,uba1066,29,29,0.9999,1.5607961601207307
K02483,,,,,microbulbifer,13,13,0.9999,1.5607961601207307
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,uba3076,3,6,0.5,0.7853981633974484
K02013,,,,,psychrobacter,105,120,0.875,1.2094292028881888
K02483,,,,,pseudosulfitobacter,12,14,0.8571428571428571,1.1831996401397158
K09820,,,,,citrobacter,11,107,0.102803738317757,0.32639476037992005
K02077,,,,,jakahc01,2,3,0.6666666666666666,0.9553166181245093
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,uba11358,49,49,0.9999,1.5607961601207307
K03981,,,,,polaromonas,9,23,0.391304347826087,0.6758276338986822
K02484,,,,,marinobacter,63,120,0.525,0.8104085918003334
K00245,,,,,gp1-aa112,2,7,0.2857142857142857,0.5639426413606289
K00380,,,,,pseudoduganella,14,20,0.7,0.9911565864311923
K00240,,,,,46-80,3,5,0.6,0.8860771237926137
K01534,,,,,paenibacillus_z,6,8,0.75,1.0471975511965976
K09820,,,,,arthrobacter_d,9,17,0.5294117647058824,0.8148269163709889
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,methylobacterium,71,173,0.41040462427745666,0.6953162497643754
K02015,,,,,uba4372,58,61,0.9508196721311475,1.347170740665513
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,capillibacterium,2,4,0.5,0.7853981633974484
K09816,,,,,jahjin01,1,2,0.5,0.7853981633974484
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,asaia,3,4,0.75,1.0471975511965976
K02013,,,,,nocardia,166,166,0.9999,1.5607961601207307
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,bog-564,2,4,0.5,0.7853981633974484
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,marivivens,2,3,0.6666666666666666,0.9553166181245093
K02013,,,,,citrobacter_b,15,16,0.9375,1.3181160716528182
K16264,,,,,pediococcus,13,33,0.3939393939393939,0.6785256342915735
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,stigmatella,2,4,0.5,0.7853981633974484
K02010,,,,,rhodoferax_c,20,50,0.4,0.684719203002283
K15727,,,,,terracidiphilus,42,71,0.5915492957746479,0.8774668670396462
K02483,,,,,jafngf01,1,2,0.5,0.7853981633974484
K19591,,,,,caivpw01,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,o-77,3,5,0.6,0.8860771237926137
K02010,,,,,jajyvt01,11,12,0.9166666666666666,1.277953555066321
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,coproplasma,5,21,0.23809523809523808,0.509739678831507
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,sulfitobacter,11,54,0.2037037037037037,0.4682613393362003
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,enterococcus_d,10,48,0.20833333333333334,0.47398487069144685
K02483,,,,,campylobacter_b,26,30,0.8666666666666667,1.1970041519603862
K16915,,,,,desulfosalsimonas,2,4,0.5,0.7853981633974484
