orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS17975	BPHYT_RS17975		cytochrome C biogenesis protein	1	0.408806093325042	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS21675	BPHYT_RS21675		FAD-dependent oxidoreductase	2	0.403744050426479	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS03480	BPHYT_RS03480		ferritin	3	0.395923991712296	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS15695	BPHYT_RS15695		luciferase	4	0.390793335033797	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS12635	BPHYT_RS12635		translation factor Sua5	5	0.378147294124824	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS25670	BPHYT_RS25670		carboxyvinyl-carboxyphosphonate phosphorylmutase	6	0.377044268862809	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS20745	BPHYT_RS20745		ribose ABC transporter permease	7	0.376787426180633	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS13230	BPHYT_RS13230		hypothetical protein	8	0.374801514152707	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS35735	BPHYT_RS35735		nitroreductase	9	0.374271409196517	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS24595	BPHYT_RS24595		aldehyde oxidase	10	0.371159209111208	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS29475	BPHYT_RS29475		carbon-phosphorus lyase complex subunit PhnJ	11	0.361712168680382	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS10300	BPHYT_RS10300		racemase	12	0.360714922587573	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS29020	BPHYT_RS29020		hypothetical protein	13	0.352199025257351	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS13450	BPHYT_RS13450		GntR family transcriptional regulator	14	0.345340607572699	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS10855	BPHYT_RS10855		histidine kinase	15	0.342461207951289	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS01290	BPHYT_RS01290		FAD dependent oxidoreductase	16	0.338443947702272	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS21055	BPHYT_RS21055		S-formylglutathione hydrolase	17	0.336641434130001	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS30185	BPHYT_RS30185		DNA-directed RNA polymerase subunit alpha	18	0.336242415013266	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS05255	BPHYT_RS05255		phage abortive infection protein	19	0.336040426119699	FALSE
BFirm	BPHYT_RS00020	BPHYT_RS00020		PAAR	BPHYT_RS08025	BPHYT_RS08025		hypothetical protein	20	0.334702925932324	FALSE
BFirm	BPHYT_RS00025	BPHYT_RS00025		hypothetical protein	BPHYT_RS15415	BPHYT_RS15415		3-octaprenyl-4-hydroxybenzoate carboxy-lyase	1	0.518739075374535	FALSE
BFirm	BPHYT_RS00025	BPHYT_RS00025		hypothetical protein	BPHYT_RS05575	BPHYT_RS05575		Fis family transcriptional regulator	2	0.49952293738554	FALSE
