orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS12400	BBR_RS12400		nicotinate phosphoribosyltransferase	1	0.488213565345686	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS14290	BBR_RS14290		TerC family protein	2	0.465524542047914	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19820	BBR_RS19820		ATP-binding protein of ABC transporter system	3	0.445237316597313	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19815	BBR_RS19815		ABC transporter permease	4	0.437533586927243	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19895	BBR_RS19895		aminopeptidase C	5	0.436998187201918	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19145	BBR_RS19145		NCS2 family permease	6	0.434602966484333	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS11320	BBR_RS11320		KR domain-containing protein	7	0.432275395445511	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19625	BBR_RS19625		3-isopropylmalate dehydratase small subunit	8	0.426172823834306	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19385	BBR_RS19385		biotin biosynthesis protein BioY	9	0.42510070912977	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS12110	BBR_RS12110		CPBP family intramembrane metalloprotease domain-containing protein	10	0.419198575950072	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19630	BBR_RS19630		3-isopropylmalate dehydratase large subunit	11	0.41825587076522	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS10940	BBR_RS10940		DedA family protein	12	0.414394317249257	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS11755	BBR_RS11755		IS256 family transposase	13	0.412303413968233	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS18005	BBR_RS18005		hypothetical protein	14	0.412076113313842	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS14975	BBR_RS14975		purine permease	15	0.407678501189648	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS16795	BBR_RS16795		Cys-tRNA(Pro) deacylase	16	0.399286134654966	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS13850	BBR_RS13850		ABC transporter permease	17	0.388882115964561	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS12275	BBR_RS12275		DUF2207 domain-containing protein	18	0.38778801227709	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS19550	BBR_RS19550		PTS N-acetylglucosamine transporter subunit IIABC	19	0.386630491429452	FALSE
Bifido	BBR_RS10255	BBR_RS10255		chromosomal replication initiator protein DnaA	BBR_RS11325	BBR_RS11325		polyketide biosynthesis protein	20	0.386370091272557	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS10990	BBR_RS10990		recombination protein RecR	1	0.928799752014431	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS16530	BBR_RS16530		recombinase RecA	2	0.903733453357286	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS12975	BBR_RS12975		ATP-dependent DNA helicase UvrD/REP family	3	0.839882398234888	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS20375	BBR_RS20375		glycosyl hydrolase	4	0.837340704609884	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS20195	BBR_RS20195		ROK family transcriptional regulator	5	0.837123973393993	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS20190	BBR_RS20190		Raffinose-binding protein	6	0.836185803754582	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS20185	BBR_RS20185		sugar ABC transporter permease	7	0.835141898136046	FALSE
Bifido	BBR_RS10265	BBR_RS10265		DNA replication and repair protein RecF	BBR_RS20180	BBR_RS20180		carbohydrate ABC transporter permease	8	0.834453507950553	FALSE
