orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	354234	BT4708		hypothetical protein (NCBI ptt file)	1	0.605259719287116	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351975	BT2447		integrase (NCBI ptt file)	2	0.593711493204528	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351001	BT1473		conserved hypothetical protein (NCBI ptt file)	3	0.567790023539589	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	350412	BT0884		outer membrane efflux protein oprM precursor (NCBI ptt file)	4	0.563230430720263	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351998	BT2470		hypothetical protein (NCBI ptt file)	5	0.558139058777191	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351305	BT1777		conserved hypothetical protein (NCBI ptt file)	6	0.547826987784986	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	352543	BT3016		TonB-dependent receptor (NCBI ptt file)	7	0.544786332883998	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	353146	BT3620		AmpG protein, beta-lactamase induction signal transducer (NCBI ptt file)	8	0.537907035686498	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	352095	BT2567		putative permease (NCBI ptt file)	9	0.536439894799483	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351008	BT1480		hypothetical protein (NCBI ptt file)	10	0.528958176186745	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	352673	BT3146		hypothetical protein (NCBI ptt file)	11	0.528113398129466	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	353149	BT3623		sodium/iodide co-transporter (NCBI ptt file)	12	0.524253052642433	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	352659	BT3132		sialic acid-specific 9-O-acetylesterase (NCBI ptt file)	13	0.521008263753859	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351853	BT2325		hypothetical protein (NCBI ptt file)	14	0.514068932070354	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	352804	BT3277		RNA polymerase ECF-type sigma factor (NCBI ptt file)	15	0.51306614759744	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351850	BT2322		putative integrase (NCBI ptt file)	16	0.509289321389225	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	353384	BT3858		conserved hypothetical protein (NCBI ptt file)	17	0.506058809504128	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	353008	BT3481		putative glutaminase A (NCBI ptt file)	18	0.497753509212777	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	351549	BT2021		conserved hypothetical protein, putative non-specific DNA-binding protein (NCBI ptt file)	19	0.497610007612777	FALSE
Btheta	2209837	BT_3258		two-component system response regulator (NCBI)	353155	BT3629		hypothetical protein (NCBI ptt file)	20	0.489993819340423	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	349870	BT0342		conserved hypothetical protein (NCBI ptt file)	1	0.520330420993836	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352659	BT3132		sialic acid-specific 9-O-acetylesterase (NCBI ptt file)	2	0.477148262110544	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	351070	BT1542		putative pyridine nucleotide-disulfide oxidoreductase (NCBI ptt file)	3	0.463295441581985	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	351891	BT2363		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	4	0.453563052247094	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	2209844	p5482_04		hypothetical protein (NCBI)	5	0.443634211128554	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352176	BT2648		hypothetical protein (NCBI ptt file)	6	0.438925983060833	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	350713	BT1185		OmpA-related protein (NCBI ptt file)	7	0.438533583099657	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	353080	BT3553		hypothetical protein (NCBI ptt file)	8	0.431950675833313	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	349593	BT0065		alpha-galactosidase precursor (NCBI ptt file)	9	0.425248455332199	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352543	BT3016		TonB-dependent receptor (NCBI ptt file)	10	0.423428533096897	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	351698	BT2170		hypothetical protein (NCBI ptt file)	11	0.42311436441835	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	353159	BT3633		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	12	0.418766855357917	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	351913	BT2385		conserved hypothetical protein (NCBI ptt file)	13	0.417622144197717	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	350391	BT0863		conserved hypothetical protein (NCBI ptt file)	14	0.417085453416675	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352181	BT2653		hypothetical protein (NCBI ptt file)	15	0.416373349906639	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352225	BT2698		hypothetical protein (NCBI ptt file)	16	0.413228916900802	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	350348	BT0820		conserved hypothetical protein (NCBI ptt file)	17	0.412575028528156	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352001	BT2473		hypothetical protein (NCBI ptt file)	18	0.408448962083732	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352842	BT3315		hypothetical protein (NCBI ptt file)	19	0.40640160833826	FALSE
Btheta	2209841	p5482_01		hypothetical protein (NCBI)	352627	BT3100		lipase, putative esterase (NCBI ptt file)	20	0.404949071691658	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	353630	BT4104		DNA helicase (NCBI ptt file)	1	0.4094105621172	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	353575	BT4049		putative ArgK protein with ATPase and kinase domains (NCBI ptt file)	2	0.379426875089385	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351481	BT1953		putative TonB-linked outer membrane receptor (NCBI ptt file)	3	0.373019034908777	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351674	BT2146		4-alpha-glucanotransferase (NCBI ptt file)	4	0.372828042287268	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351934	BT2406		putative DNA repair protein (NCBI ptt file)	5	0.371036865331119	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	354136	BT4610		RecA (NCBI ptt file)	6	0.360641593885446	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	350821	BT1293		alpha-glucan phosphorylase (NCBI ptt file)	7	0.350236025070814	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	2209855	p5482_15		TraM-like protein (NCBI)	8	0.342203894083617	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351483	BT1955		putative cell wall biogenesis protein (NCBI ptt file)	9	0.339528896462123	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	352370	BT2843		integrase (NCBI ptt file)	10	0.331272867822781	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	353215	BT3689		conserved hypothetical protein (NCBI ptt file)	11	0.326802502353057	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351399	BT1871		putative alpha-glucosidase (NCBI ptt file)	12	0.326742588720565	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	352599	BT3072		collagenase precursor (NCBI ptt file)	13	0.325224218756261	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	353700	BT4174		conserved hypothetical protein (NCBI ptt file)	14	0.323136273661119	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351792	BT2264		outer membrane protein Omp121 (NCBI ptt file)	15	0.31472267610494	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	350859	BT1331		hypothetical protein (NCBI ptt file)	16	0.310916480028919	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	353508	BT3982		ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member (NCBI ptt file)	17	0.30975634140374	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	351485	BT1957		hypothetical protein (NCBI ptt file)	18	0.304997017297059	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	350737	BT1209		cytochrome D ubiquinol oxidase subunit II (NCBI ptt file)	19	0.300838294122815	FALSE
Btheta	2209842	p5482_02		hypothetical protein (NCBI)	352966	BT3439		hypothetical protein (NCBI ptt file)	20	0.300836409788084	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352384	BT2857		hypothetical protein (NCBI ptt file)	1	0.493968823901206	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	351404	BT1876		putative anti-sigma factor (NCBI ptt file)	2	0.483360901635091	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352660	BT3133		alpha-galactosidase (NCBI ptt file)	3	0.47987054018042	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	351402	BT1874		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	4	0.47981755113808	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	353264	BT3738		two-component system sensor histidine kinase/response regulator, hybrid ('one-component system') (NCBI ptt file)	5	0.450739641296606	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	351400	BT1872		periplasmic beta-glucosidase precursor (NCBI ptt file)	6	0.448047473388132	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352573	BT3046		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	7	0.443504330941152	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352383	BT2856		hypothetical protein (NCBI ptt file)	8	0.439203743126721	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352519	BT2992		conserved hypothetical protein (NCBI ptt file)	9	0.436541809076848	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	350182	BT0654		two-component sensor histidine kinase (NCBI ptt file)	10	0.40859378906151	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352572	BT3045		hypothetical protein (NCBI ptt file)	11	0.406689547921658	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	2209878	p5482_38		DNA primase (NCBI)	12	0.404871361421385	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352381	BT2854		periplasmic beta-glucosidase precursor (NCBI ptt file)	13	0.403015223044527	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352732	BT3205		hypothetical protein (NCBI ptt file)	14	0.386075300708329	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352789	BT3262		hypothetical protein (NCBI ptt file)	15	0.384916009113705	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352602	BT3075		NAD-dependent epimerase/dehydratase family protein (NCBI ptt file)	16	0.384460806184686	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	351403	BT1875		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	17	0.377250697727467	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	353762	BT4236		two-component system sensor histidine kinase/response regulator, hybrid ('one-component system') (NCBI ptt file)	18	0.374203554733679	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	351405	BT1877		RNA polymerase ECF-type sigma factor (NCBI ptt file)	19	0.371020416778102	FALSE
Btheta	2209843	p5482_03		hypothetical protein (NCBI)	352459	BT2932		transcriptional regulator (NCBI ptt file)	20	0.36440359845281	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	2209878	p5482_38		DNA primase (NCBI)	1	0.540229302296989	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352383	BT2856		hypothetical protein (NCBI ptt file)	2	0.522354675651345	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352789	BT3262		hypothetical protein (NCBI ptt file)	3	0.49435167057809	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	2209875	p5482_35		hypothetical protein (NCBI)	4	0.490580297612557	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	351404	BT1876		putative anti-sigma factor (NCBI ptt file)	5	0.477850669013404	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	351400	BT1872		periplasmic beta-glucosidase precursor (NCBI ptt file)	6	0.477064414099663	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352660	BT3133		alpha-galactosidase (NCBI ptt file)	7	0.474481271040662	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352385	BT2858		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	8	0.463892510317267	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	351402	BT1874		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	9	0.456896581920995	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	351405	BT1877		RNA polymerase ECF-type sigma factor (NCBI ptt file)	10	0.455870695655166	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	2209876	p5482_36		hypothetical protein (NCBI)	11	0.444922618093143	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	2209841	p5482_01		hypothetical protein (NCBI)	12	0.443634211128554	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	351403	BT1875		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	13	0.433117877010483	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352381	BT2854		periplasmic beta-glucosidase precursor (NCBI ptt file)	14	0.409617611532612	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	349942	BT0414		sulfate adenylyltransferase subunit 2 (NCBI ptt file)	15	0.401229711739627	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	353283	BT3757		pyrroline-5-carboxylate reductase (NCBI ptt file)	16	0.386088267174839	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352379	BT2852		putative beta-xylosidase (NCBI ptt file)	17	0.382132077561255	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	350905	BT1377		phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphohydrolase (NCBI ptt file)	18	0.376940211645482	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	353264	BT3738		two-component system sensor histidine kinase/response regulator, hybrid ('one-component system') (NCBI ptt file)	19	0.376054147726061	FALSE
Btheta	2209844	p5482_04		hypothetical protein (NCBI)	352455	BT2928		hypothetical protein (NCBI ptt file)	20	0.365350880297537	FALSE
Btheta	2209846	p5482_06		mobilization protein A (NCBI)	2209847	p5482_07		mobilization protein B (NCBI)	1	0.495148590178039	FALSE
Btheta	2209846	p5482_06		mobilization protein A (NCBI)	2209848	p5482_08		mobilization protein C (NCBI)	2	0.397576671576906	FALSE
Btheta	2209846	p5482_06		mobilization protein A (NCBI)	353765	BT4239		hypothetical protein (NCBI ptt file)	3	0.282997485240048	FALSE
