orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_02443	H281DRAFT_02443		alkylhydroperoxidase AhpD family core domain-containing protein	1	0.515477311405414	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_02121	H281DRAFT_02121		inward rectifier potassium channel	2	0.504245536804035	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_03743	H281DRAFT_03743		hypothetical protein	3	0.502049695982387	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_04801	H281DRAFT_04801		galactose oxidase	4	0.48390111020748	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_06441	H281DRAFT_06441		cytochrome bd-I ubiquinol oxidase subunit 1 apoprotein (EC 1.10.3.10)	5	0.479036980712155	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_03470	H281DRAFT_03470		kumamolisin. Serine peptidase. MEROPS family S53	6	0.470801232930434	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_04986	H281DRAFT_04986		protein ImuB	7	0.465106877970527	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_03265	H281DRAFT_03265		Predicted arabinose efflux permease, MFS family	8	0.464566832440824	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_00253	H281DRAFT_00253		Pimeloyl-ACP methyl ester carboxylesterase	9	0.462321441070678	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_06174	H281DRAFT_06174		hypothetical protein	10	0.456215579595815	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_06180	H281DRAFT_06180		hypothetical protein	11	0.455384610864634	FALSE
Burk376	H281DRAFT_00002	H281DRAFT_00002		hypothetical protein	H281DRAFT_03820	H281DRAFT_03820		methylated-DNA-[protein]-cysteine S-methyltransferase	12	0.453534206501852	FALSE
