orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS12945	ABZR87_RS12945		GPO family capsid scaffolding protein	1	0.565481012929518	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS12245	ABZR87_RS12245		MoxR family ATPase	2	0.559145044587314	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS18730	ABZR87_RS18730		redoxin domain-containing protein	3	0.559132543841147	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS03230	ABZR87_RS03230		MerR family transcriptional regulator	4	0.546263935987233	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS18490	ABZR87_RS18490		LysR family transcriptional regulator	5	0.541992931551256	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS09855	ABZR87_RS09855		tetratricopeptide repeat protein	6	0.536114903067644	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS17755	ABZR87_RS17755		methionine ABC transporter permease	7	0.532672447213353	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS13135	ABZR87_RS13135		Bro-N domain-containing protein	8	0.514754719273893	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS05855	ABZR87_RS05855		NAD-dependent succinate-semialdehyde dehydrogenase	9	0.513135094602715	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS23160	ABZR87_RS23160		hypothetical protein	10	0.512775826900763	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS10530	ABZR87_RS10530		site-2 protease family protein	11	0.50582191464057	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS14260	ABZR87_RS14260		YSC84-related protein	12	0.505591539461052	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS08220	ABZR87_RS08220		TonB-dependent receptor	13	0.498643118040572	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS12180	ABZR87_RS12180		hypothetical protein	14	0.497983579989358	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS01755	ABZR87_RS01755		ATP-binding protein	15	0.49641446565125	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS20495	ABZR87_RS20495		hypothetical protein	16	0.491468110136458	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS17800	ABZR87_RS17800		hypothetical protein	17	0.486159431451361	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS03545	ABZR87_RS03545		MarR family transcriptional regulator	18	0.481631158711019	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS15020	ABZR87_RS15020		ABC transporter permease	19	0.474119200197469	FALSE
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	ABZR87_RS21210	ABZR87_RS21210		cystathionine beta-lyase	20	0.46578481174651	FALSE
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	ABZR87_RS00015	ABZR87_RS00015		autotransporter assembly complex family protein	1	0.895787654497168	TRUE
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	ABZR87_RS00920	ABZR87_RS00920		AI-2E family transporter	2	0.839413122996385	FALSE
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	ABZR87_RS04970	ABZR87_RS04970		glycosyltransferase family 39 protein	3	0.792001357904608	FALSE
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	ABZR87_RS20095	ABZR87_RS20095		class II glutamine amidotransferase	4	0.779857149245453	FALSE
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	ABZR87_RS16665	ABZR87_RS16665		GNAT family N-acetyltransferase	5	0.775019764554927	FALSE
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	ABZR87_RS03805	ABZR87_RS03805		BON domain-containing protein	6	0.77253746148689	FALSE
