orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS10360	RR42_RS10360		porin	1	0.408276766425159	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS09385	RR42_RS09385		hypothetical protein	2	0.400457140224016	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS15240	RR42_RS15240		membrane protein	3	0.376644712414653	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS00715	RR42_RS00715		ferritin	4	0.365365096332149	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS36865	RR42_RS36865		RloF protein	5	0.361287832825194	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS37255	RR42_RS37255		hypothetical protein	6	0.351460502730539	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS37085	RR42_RS37085		ATP-dependent DNA ligase	7	0.349289051093409	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS05410	RR42_RS05410		acetyltransferase	8	0.346831018686192	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS30355	RR42_RS30355		4-amino-4-deoxy-L-arabinose transferase	9	0.343305338026687	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS25615	RR42_RS25615		TetR family transcriptional regulator	10	0.340558991355262	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS25305	RR42_RS25305		transposase	11	0.338839891661312	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS18740	RR42_RS18740		hypothetical protein	12	0.336316382688233	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS24330	RR42_RS24330		IclR family transcriptional regulator	13	0.334017872882262	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS31885	RR42_RS31885		sialidase	14	0.331416122970108	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS04335	RR42_RS04335		iron deficiency-induced protein A	15	0.329504647368967	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS28525	RR42_RS28525		PadR family transcriptional regulator	16	0.329268801343375	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS26005	RR42_RS26005		GntR family transcriptional regulator	17	0.328844418167853	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS30830	RR42_RS30830		GTP cyclohydrolase	18	0.328796569694635	FALSE
Cup4G11	RR42_RS00020	RR42_RS00020		hypothetical protein	RR42_RS03645	RR42_RS03645		hypothetical protein	19	0.327317450825876	FALSE
