orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS08110	HGI48_RS08110		ABC transporter permease subunit	1	0.613488585721914	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS14135	HGI48_RS14135		alpha/beta hydrolase	2	0.528751643397407	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS07770	HGI48_RS07770		CDP-diacylglycerol diphosphatase	3	0.516017715421642	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS06135	HGI48_RS06135		esterase	4	0.514498465273967	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS21125	HGI48_RS21125		MFS transporter	5	0.503938288520789	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS04975	HGI48_RS04975		prepilin peptidase-dependent protein	6	0.503116714097926	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS15530	HGI48_RS15530		glutamine-hydrolyzing GMP synthase	7	0.486723328654072	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS17740	HGI48_RS17740		glucosamine kinase	8	0.469450846260095	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS00330	HGI48_RS00330		XylR family transcriptional regulator	9	0.467780381788227	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS02610	HGI48_RS02610		polysaccharide biosynthesis tyrosine autokinase	10	0.466338207225158	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS09390	HGI48_RS09390		DUF418 family protein	11	0.462172741007376	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS18830	HGI48_RS18830		IS3 family transposase	12	0.461408337086782	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS02005	HGI48_RS02005		AAA family ATPase	13	0.441854565838749	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS05230	HGI48_RS05230		DNA mismatch repair protein MutS	14	0.440129659997308	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS21550	HGI48_RS21550		P-loop NTPase	15	0.437347798053302	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS06865	HGI48_RS06865		GntR family transcriptional regulator	16	0.430953185045373	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS11415	HGI48_RS11415		metal-dependent hydrolase	17	0.4246500735926	FALSE
Ddia6719	HGI48_RS00015	HGI48_RS00015		DNA replication/repair protein RecF	HGI48_RS14840	HGI48_RS14840		hypothetical protein	18	0.42342910247868	FALSE
