orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS11845	DZA65_RS11845		EAL domain-containing protein	1	0.653718481049069	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS02750	DZA65_RS02750		hypothetical protein	2	0.573810542844843	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS14050	DZA65_RS14050		chemotaxis protein CheY	3	0.565504089682389	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS16870	DZA65_RS16870		cyclic-guanylate-specific phosphodiesterase	4	0.552978680048908	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS20580	DZA65_RS20580		FKBP-type peptidyl-prolyl cis-trans isomerase	5	0.549216626387176	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS17905	DZA65_RS17905		multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	6	0.543444062741196	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS11725	DZA65_RS11725		pectate disaccharide-lyase	7	0.524393248961	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS14060	DZA65_RS14060		protein-glutamate O-methyltransferase CheR	8	0.512184361943727	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS08105	DZA65_RS08105		AcsA protein	9	0.509089992419019	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS18115	DZA65_RS18115		MBL fold metallo-hydrolase	10	0.504308859256553	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS21935	DZA65_RS21935		two-component system sensor histidine kinase DcuS	11	0.503837691209717	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS16680	DZA65_RS16680		enhanced serine sensitivity protein SseB	12	0.503547852564459	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS13850	DZA65_RS13850		Gfo/Idh/MocA family oxidoreductase	13	0.501877223763105	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS22610	DZA65_RS22610		UDP-4-amino-4-deoxy-L-arabinose aminotransferase	14	0.499711798230091	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS11710	DZA65_RS11710		cupin domain-containing protein	15	0.496908441697866	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS17910	DZA65_RS17910		multidrug efflux MFS transporter permease subunit EmrB	16	0.494068814760215	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS06840	DZA65_RS06840		succinate dehydrogenase iron-sulfur subunit	17	0.493046651128743	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS14075	DZA65_RS14075		chemotaxis protein CheA	18	0.492207497086947	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS00635	DZA65_RS00635		hypothetical protein	19	0.491251635399451	FALSE
DdiaME23	DZA65_RS00015	DZA65_RS00015		DNA replication/repair protein RecF	DZA65_RS12730	DZA65_RS12730		ABC transporter permease subunit	20	0.490209873797066	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS01510	DZA65_RS01510		RNA polymerase factor sigma-54	1	0.520307347416161	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS13450	DZA65_RS13450		aspartate/tyrosine/aromatic aminotransferase	2	0.491714653668422	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS01970	DZA65_RS01970		aspartate carbamoyltransferase	3	0.488554321938455	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS13390	DZA65_RS13390		quinone-dependent dihydroorotate dehydrogenase	4	0.48125441883299	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS00895	DZA65_RS00895		phosphoenolpyruvate carboxylase	5	0.478563556936811	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS13710	DZA65_RS13710		dihydroorotase	6	0.475533439932023	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS19035	DZA65_RS19035		carboxylating nicotinate-nucleotide diphosphorylase	7	0.46793710266239	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS01635	DZA65_RS01635		glutamate synthase large subunit	8	0.461629255866984	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS10030	DZA65_RS10030		imidazole glycerol phosphate synthase subunit HisF	9	0.456607832169378	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS12225	DZA65_RS12225		type III secretion protein	10	0.455235611332283	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS01630	DZA65_RS01630		FAD-dependent oxidoreductase	11	0.451118360928276	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS17155	DZA65_RS17155		3-methyl-2-oxobutanoate hydroxymethyltransferase	12	0.450777391760948	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS17160	DZA65_RS17160		pantoate--beta-alanine ligase	13	0.450419410825515	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS10045	DZA65_RS10045		bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	14	0.448921104306811	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS13030	DZA65_RS13030		orotidine-5'-phosphate decarboxylase	15	0.439403440404418	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS10335	DZA65_RS10335		multidrug efflux MFS transporter MdtH	16	0.437919392280317	FALSE
DdiaME23	DZA65_RS00025	DZA65_RS00025		MFS transporter	DZA65_RS17165	DZA65_RS17165		aspartate 1-decarboxylase	17	0.436953718224474	FALSE
