orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
DvH	11399142	DORF25031			208957	DVU0029		hydantoinase/oxoprolinase family protein (TIGR)	1	0.849235693566516	FALSE
DvH	11399142	DORF25031			206198	DVU0771		molybdenum-pterin binding domain protein/site-specific recombinase, phage integrase family (TIGR)	2	0.680215154719634	FALSE
DvH	11399142	DORF25031			206436	DVU1002		conserved domain protein (TIGR)	3	0.62335149389903	FALSE
DvH	11399142	DORF25031			209178	DVU0245		protein phosphatase, putative (TIGR)	4	0.605186373313962	FALSE
DvH	11399142	DORF25031			209183	DVU0250		hypothetical protein (TIGR)	5	0.600599855252017	FALSE
DvH	11399142	DORF25031			208624	DVU3106		GGDEF domain protein (TIGR)	6	0.55367992818194	FALSE
DvH	11399142	DORF25031			208604	DVU3088	deaD	ATP-dependent RNA helicase, DEAD/DEAH box family (TIGR)	7	0.486145568291155	FALSE
DvH	11399142	DORF25031			206259	DVU0831		PTS system, IID component, putative (TIGR)	8	0.47857251662665	FALSE
DvH	11399142	DORF25031			206513	DVU1078		R3H domain protein (TIGR)	9	0.47367474813219	FALSE
DvH	11399142	DORF25031			207911	DVU2420		conserved hypothetical protein (TIGR)	10	0.472590464144071	FALSE
DvH	11399142	DORF25031			209362	DVU0426		chromate transport family protein (TIGR)	11	0.466413526954846	FALSE
DvH	11399142	DORF25031			208701	DVU3180		GGDEF domain protein (TIGR)	12	0.463134701115475	FALSE
DvH	11399142	DORF25031			208419	DVU2909		transcriptional regulator, MarR family (TIGR)	13	0.438490244084146	FALSE
DvH	11399142	DORF25031			206875	DVU1431		hpt domain protein/STAS domain protein (TIGR)	14	0.422742620312865	FALSE
DvH	11399142	DORF25031			11399164	DORF7824			15	0.416588374270663	FALSE
DvH	11399142	DORF25031			207892	DVU2401		hydrogenase, iron-sulfur cluster-binding subunit, putative (TIGR)	16	0.40872660099866	FALSE
DvH	11399142	DORF25031			206892	DVU1448		conserved hypothetical protein (TIGR)	17	0.404936134249209	FALSE
DvH	11399142	DORF25031			208698	DVU3177		hypothetical protein (TIGR)	18	0.393092209430753	FALSE
DvH	11399142	DORF25031			208358	DVU2849	stfE	tail fiber protein, putative (TIGR)	19	0.39102390512864	FALSE
