orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	1	0.824513999973989	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS00030	HSERO_RS00030		hypothetical protein	2	0.743666374850651	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS02480	HSERO_RS02480		membrane protein	3	0.709044947553786	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17410	HSERO_RS17410		hypothetical protein	4	0.692930125738994	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17380	HSERO_RS17380		peptidase	5	0.683877197593085	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS02485	HSERO_RS02485		membrane protein	6	0.677312243905669	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17395	HSERO_RS17395		hypothetical protein	7	0.662263585947644	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS20440	HSERO_RS20440		hypothetical protein	8	0.655905212795985	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17390	HSERO_RS17390		hypothetical protein	9	0.654990244687258	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS20460	HSERO_RS20460		hypothetical protein	10	0.647985630908283	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS20425	HSERO_RS20425		hypothetical protein	11	0.64746938815949	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17405	HSERO_RS17405		hypothetical protein	12	0.642628225091107	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS20470	HSERO_RS20470		hypothetical protein	13	0.636728990080449	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17400	HSERO_RS17400		ATPase	14	0.619104803170303	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS14095	HSERO_RS14095		hypothetical protein	15	0.617504242260828	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS02895	HSERO_RS02895		hypothetical protein	16	0.609490985965187	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS17425	HSERO_RS17425		chemotaxis protein	17	0.601013609002846	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS20505	HSERO_RS20505		bacteriophage integrase/recombinase	18	0.588780679255062	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS02490	HSERO_RS02490		hypothetical protein	19	0.585611673708932	FALSE
HerbieS	HSERO_RS00020	HSERO_RS00020		hypothetical protein	HSERO_RS07785	HSERO_RS07785		hypothetical protein	20	0.585324899953486	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS00030	HSERO_RS00030		hypothetical protein	1	0.826028241841525	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS00020	HSERO_RS00020		hypothetical protein	2	0.824513999973989	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS02480	HSERO_RS02480		membrane protein	3	0.699836805685749	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS20425	HSERO_RS20425		hypothetical protein	4	0.668716313857076	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS17380	HSERO_RS17380		peptidase	5	0.651140882837322	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS20440	HSERO_RS20440		hypothetical protein	6	0.648415953941477	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS02485	HSERO_RS02485		membrane protein	7	0.642783562189074	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS17410	HSERO_RS17410		hypothetical protein	8	0.629293846483612	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS02895	HSERO_RS02895		hypothetical protein	9	0.619841517740962	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS20470	HSERO_RS20470		hypothetical protein	10	0.610323540753321	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS14095	HSERO_RS14095		hypothetical protein	11	0.600638484269671	FALSE
HerbieS	HSERO_RS00025	HSERO_RS00025		reverse transcriptase	HSERO_RS17400	HSERO_RS17400		ATPase	12	0.595553857678132	FALSE
