orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_0013	Ga0059261_0013		hypothetical protein	1	0.86251574125381	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_0361	Ga0059261_0361		conserved hypothetical protein, YceG family	2	0.692868389735905	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2283	Ga0059261_2283		Predicted membrane protein	3	0.629943251168389	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_1919	Ga0059261_1919		L,D-transpeptidase catalytic domain	4	0.626490207745257	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2203	Ga0059261_2203		hypothetical protein	5	0.622133798934186	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_3497	Ga0059261_3497		Membrane proteins related to metalloendopeptidases	6	0.601008215382369	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2513	Ga0059261_2513		Domain of unknown function (DUF4115)/Helix-turn-helix domain	7	0.59730518100738	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2719	Ga0059261_2719		Phosphoenolpyruvate carboxylase, type 1 (EC 4.1.1.31)	8	0.572898789050995	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_1932	Ga0059261_1932		Peptidase family M23	9	0.572652481405584	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2013	Ga0059261_2013		signal peptidase I, bacterial type	10	0.566416422358527	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_3930	Ga0059261_3930		Putative protein-S-isoprenylcysteine methyltransferase	11	0.562095744485804	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2295	Ga0059261_2295		DUF218 domain	12	0.544847878931297	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_3472	Ga0059261_3472		Sporulation related domain	13	0.542981671261381	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_0815	Ga0059261_0815		Uncharacterized protein involved in tellurite resistance	14	0.534431635347154	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_0719	Ga0059261_0719		Uncharacterized protein conserved in bacteria	15	0.533667608063798	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_1286	Ga0059261_1286		phasin family protein	16	0.530159299771662	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_3105	Ga0059261_3105		Methyltransferase domain	17	0.529152882968129	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_1797	Ga0059261_1797		glutamate synthase small subunit family protein, proteobacterial	18	0.522203844792968	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_3633	Ga0059261_3633		Acyl-CoA dehydrogenases	19	0.518124624593089	FALSE
Korea	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	Ga0059261_2247	Ga0059261_2247		Beta-lactamase class A	20	0.517682544040196	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_0012	Ga0059261_0012		Protein of unknown function (DUF1469)	1	0.86251574125381	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_1932	Ga0059261_1932		Peptidase family M23	2	0.600479552595127	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_0361	Ga0059261_0361		conserved hypothetical protein, YceG family	3	0.590489414584243	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_3472	Ga0059261_3472		Sporulation related domain	4	0.547662477798099	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_3497	Ga0059261_3497		Membrane proteins related to metalloendopeptidases	5	0.529539463471005	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_3930	Ga0059261_3930		Putative protein-S-isoprenylcysteine methyltransferase	6	0.528510861576622	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_1919	Ga0059261_1919		L,D-transpeptidase catalytic domain	7	0.527343567237935	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_0815	Ga0059261_0815		Uncharacterized protein involved in tellurite resistance	8	0.522141010693665	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_3642	Ga0059261_3642		Predicted membrane protein	9	0.511976716687905	FALSE
Korea	Ga0059261_0013	Ga0059261_0013		hypothetical protein	Ga0059261_2203	Ga0059261_2203		hypothetical protein	10	0.502134227158412	FALSE
