orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS09645	BWI76_RS09645		thioredoxin-disulfide reductase	1	0.305646445012552	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS07180	BWI76_RS07180		transcriptional regulator CadC	2	0.298538699536986	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS07845	BWI76_RS07845		LacI family transcriptional regulator	3	0.297769303249656	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS26080	BWI76_RS26080		cell division protein DamX	4	0.293977100339592	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS21415	BWI76_RS21415		MFS transporter	5	0.292478273947672	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS12085	BWI76_RS12085		regulatory protein CII from bacteriophage origin	6	0.281143724876673	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS22745	BWI76_RS22745		type I-E CRISPR-associated protein Cse1/CasA	7	0.279663426212822	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS26075	BWI76_RS26075		DNA adenine methylase	8	0.27805899373051	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS08025	BWI76_RS08025		septal ring lytic transglycosylase RlpA	9	0.277597006438076	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS27180	BWI76_RS27180		hypothetical protein	10	0.270996319949135	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS23530	BWI76_RS23530		MarR family transcriptional regulator	11	0.269345931452613	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS21860	BWI76_RS21860		hypothetical protein	12	0.268140878478234	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS15825	BWI76_RS15825		hypothetical protein	13	0.267266263470686	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS07800	BWI76_RS07800		ABC transporter	14	0.26652882948644	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS26670	BWI76_RS26670		two-component sensor histidine kinase	15	0.26447130881039	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS12605	BWI76_RS12605		hypothetical protein	16	0.262212337071043	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS14180	BWI76_RS14180		hypothetical protein	17	0.261038786943458	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS16610	BWI76_RS16610		hypothetical protein	18	0.250595152679389	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS09190	BWI76_RS09190		hypothetical protein	19	0.250388363306783	FALSE
Koxy	BWI76_RS00010	BWI76_RS00010		DNA replication and repair protein RecF	BWI76_RS01220	BWI76_RS01220		DNA-dependent helicase II	20	0.249920365386232	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS20815	BWI76_RS20815		ethanolamine utilization protein EutQ	1	0.325306011420575	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS06680	BWI76_RS06680		hypothetical protein	2	0.31086071301928	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS24715	BWI76_RS24715		serine/threonine transporter SstT	3	0.302754675992904	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS15435	BWI76_RS15435		hypothetical protein	4	0.299300962989164	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS06740	BWI76_RS06740		50S ribosomal protein L36	5	0.29484196248147	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS01550	BWI76_RS01550		thiamine phosphate synthase	6	0.286064191806384	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS19995	BWI76_RS19995		IclR family transcriptional regulator	7	0.285685823987356	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS19355	BWI76_RS19355		LacI family transcriptional regulator	8	0.273926517311667	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS27850	BWI76_RS27850		DNA-binding transcriptional regulator DsdC	9	0.273300388734985	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS05750	BWI76_RS05750		thiamine biosynthesis protein ThiJ	10	0.268175638166624	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS04605	BWI76_RS04605		thiamine ABC transporter ATP-binding protein	11	0.258341249355848	FALSE
Koxy	BWI76_RS00025	BWI76_RS00025		hypothetical protein	BWI76_RS01200	BWI76_RS01200		diaminopimelate epimerase	12	0.2559233196888	FALSE
