orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS03165	ABIE51_RS03165		D-alanyl-D-alanine carboxypeptidase family protein	1	0.928390732647747	TRUE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS13890	ABIE51_RS13890		RNA polymerase sigma factor RpoE	2	0.838392535557538	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS17320	ABIE51_RS17320		aminopeptidase P N-terminal domain-containing protein	3	0.780639010584191	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS16505	ABIE51_RS16505		branched-chain amino acid transaminase	4	0.757221256667328	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS00265	ABIE51_RS00265		3-oxoacyl-ACP synthase III	5	0.753140693014518	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS09125	ABIE51_RS09125		amino acid permease	6	0.72808136334821	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS08255	ABIE51_RS08255		LysR family transcriptional regulator	7	0.719166260461379	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS04190	ABIE51_RS04190		indole-3-glycerol phosphate synthase TrpC	8	0.71267574594201	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS03160	ABIE51_RS03160		septal ring lytic transglycosylase RlpA family protein	9	0.71132506330189	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS06240	ABIE51_RS06240		30S ribosomal protein THX	10	0.706855070198553	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS05975	ABIE51_RS05975		class II 3-deoxy-7-phosphoheptulonate synthase	11	0.696088594694855	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS04250	ABIE51_RS04250		maleylacetoacetate isomerase	12	0.694221754992656	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS03265	ABIE51_RS03265		trypsin-like peptidase domain-containing protein	13	0.692000505355859	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS16095	ABIE51_RS16095		shikimate kinase	14	0.689369808165537	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS04175	ABIE51_RS04175		aminodeoxychorismate/anthranilate synthase component II	15	0.689135017164066	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS15405	ABIE51_RS15405		carboxylating nicotinate-nucleotide diphosphorylase	16	0.687558603609821	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS17515	ABIE51_RS17515		phosphomethylpyrimidine synthase ThiC	17	0.68626452100037	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS03940	ABIE51_RS03940		response regulator transcription factor	18	0.68297803062069	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS11615	ABIE51_RS11615		carbamoyl-phosphate synthase large subunit	19	0.681689324686309	FALSE
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	ABIE51_RS13145	ABIE51_RS13145		acetyl-CoA C-acyltransferase	20	0.679844200697154	FALSE
Lysobacter_OAE881	ABIE51_RS00040	ABIE51_RS00040		anhydro-N-acetylmuramic acid kinase	ABIE51_RS18935	ABIE51_RS18935		DUF4136 domain-containing protein	1	0.746579111391687	FALSE
Lysobacter_OAE881	ABIE51_RS00040	ABIE51_RS00040		anhydro-N-acetylmuramic acid kinase	ABIE51_RS00050	ABIE51_RS00050		MFS transporter	2	0.737511753513264	TRUE
Lysobacter_OAE881	ABIE51_RS00040	ABIE51_RS00040		anhydro-N-acetylmuramic acid kinase	ABIE51_RS03245	ABIE51_RS03245		AI-2E family transporter	3	0.703302206586968	FALSE
