orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
MR1	10942653	SO_0201			203680	SO4610		hypothetical protein (NCBI ptt file)	1	0.342283294767699	FALSE
MR1	10942653	SO_0201			203238	SO4155		sensor histidine kinase (NCBI ptt file)	2	0.332693158995436	FALSE
MR1	10942653	SO_0201			201187	SO2027		hypothetical protein (NCBI ptt file)	3	0.326512775950307	FALSE
MR1	10942653	SO_0201			199230	SO0033		LysM domain protein (NCBI ptt file)	4	0.324627370031189	FALSE
MR1	10942653	SO_0201			199743	SO0552		hypothetical protein (NCBI ptt file)	5	0.316916290266605	FALSE
MR1	10942653	SO_0201			203708	SO4638		sensor histidine kinase (NCBI ptt file)	6	0.313896734657022	FALSE
MR1	10942653	SO_0201			200179	SO0996		glyoxalase family protein (NCBI ptt file)	7	0.306840739691352	FALSE
MR1	10942653	SO_0201			201061	SO1899		conserved hypothetical protein (NCBI ptt file)	8	0.302977534691596	FALSE
MR1	10942653	SO_0201			201389	SO2239		conserved hypothetical protein (NCBI ptt file)	9	0.30018690296238	FALSE
MR1	10942653	SO_0201			202794	SO3700		extracellular solute-binding protein, family 3/GGDEF domain protein (NCBI ptt file)	10	0.299027944904682	FALSE
MR1	10942653	SO_0201			202236	SO3121		conserved hypothetical protein (NCBI ptt file)	11	0.294351486403874	FALSE
MR1	10942653	SO_0201			203243	SO4160		flagellar biosynthesis protein, putative (NCBI ptt file)	12	0.288017056909386	FALSE
MR1	10942653	SO_0201			202248	SO3134	dctP	C4-dicarboxylate-binding periplasmic protein (NCBI ptt file)	13	0.287952773284537	FALSE
MR1	10942653	SO_0201			199721	SO0530		transporter, LysE family (NCBI ptt file)	14	0.287946210185541	FALSE
MR1	10942653	SO_0201			203858	SOA0034		hypothetical protein (NCBI ptt file)	15	0.287144022303651	FALSE
MR1	10942653	SO_0201			200756	SO1589		hypothetical protein (NCBI ptt file)	16	0.284038750203563	FALSE
MR1	10942653	SO_0201			202276	SO3166		conserved hypothetical protein (NCBI ptt file)	17	0.282054209194655	FALSE
MR1	10942653	SO_0201			200457	SO1279		hypothetical protein (NCBI ptt file)	18	0.280539165246965	FALSE
MR1	10942653	SO_0201			202232	SO3116		conserved hypothetical protein (NCBI ptt file)	19	0.280135513425145	FALSE
MR1	10942653	SO_0201			199318	SO0121		hypothetical Small-conductance mechanosensitive channel (NCBI ptt file)	20	0.278851515038273	FALSE
MR1	10942654	SO_0373			199616	SO0424	aceE	pyruvate dehydrogenase complex, E1 component, pyruvate dehydrogenase (NCBI ptt file)	1	0.431369595278765	FALSE
MR1	10942654	SO_0373			199617	SO0425	aceF	pyruvate dehydrogenase complex, E2 component, dihydrolipoamide acetyltransferase (NCBI ptt file)	2	0.415910681262287	FALSE
MR1	10942654	SO_0373			199615	SO0423	pdhR	pyruvate dehydrogenase complex repressor (NCBI ptt file)	3	0.414012150928499	FALSE
MR1	10942654	SO_0373			370324	SO3660.1		hypothetical ferredoxin (NCBI ptt file)	4	0.370010177051662	FALSE
MR1	10942654	SO_0373			199563	SO0368		helicase (NCBI ptt file)	5	0.352864462088028	FALSE
