orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS18145	AMB_RS18145		GntR family transcriptional regulator	1	0.711083169247131	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS01605	AMB_RS01605		aspartate aminotransferase family protein	2	0.699553991094953	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS02825	AMB_RS02825		phasin	3	0.67807302383324	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS18590	AMB_RS18590		glycosyltransferase family 2 protein	4	0.664736730013244	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS03725	AMB_RS03725		DNA helicase II	5	0.66255014655275	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS21735	AMB_RS21735		hypothetical protein	6	0.661324731720694	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS10100	AMB_RS10100		nucleoside 2-deoxyribosyltransferase	7	0.653737943446583	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS03260	AMB_RS03260		hypothetical protein	8	0.653298860208132	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS16715	AMB_RS16715		hypothetical protein	9	0.641494683710555	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS03215	AMB_RS03215		alpha/beta hydrolase	10	0.632676230430037	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS04785	AMB_RS04785		IS5/IS1182 family transposase	11	0.632454330293904	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS16240	AMB_RS16240		tol-pal system-associated acyl-CoA thioesterase	12	0.632220462763837	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS05505	AMB_RS05505		GDP-mannose 4,6-dehydratase	13	0.629608932442221	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS06070	AMB_RS06070		chromosome partitioning protein ParB	14	0.628192839253986	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS14255	AMB_RS14255		hypothetical protein	15	0.622631556953955	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS16465	AMB_RS16465		hypothetical protein	16	0.622356445237758	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS06245	AMB_RS06245		hypothetical protein	17	0.619279669173461	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS04040	AMB_RS04040		phosphatase	18	0.619225332086439	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS18785	AMB_RS18785		DUF2325 domain-containing protein	19	0.614226105899526	FALSE
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	AMB_RS00115	AMB_RS00115		hypothetical protein	20	0.606184798515469	FALSE
Magneto	AMB_RS00015	AMB_RS00015		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	AMB_RS00475	AMB_RS00475		MBOAT family protein	1	0.902515110529367	FALSE
Magneto	AMB_RS00015	AMB_RS00015		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	AMB_RS11360	AMB_RS11360		membrane protein	2	0.873270800951446	FALSE
Magneto	AMB_RS00015	AMB_RS00015		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	AMB_RS05545	AMB_RS05545		hypothetical protein	3	0.861630187969456	FALSE
Magneto	AMB_RS00015	AMB_RS00015		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	AMB_RS05505	AMB_RS05505		GDP-mannose 4,6-dehydratase	4	0.860847204134483	FALSE
