orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Marino	GFF1	HP15_1		hypothetical protein	GFF1871	HP15_1828		phosphoribosylanthranilate isomerase	1	0.445339673975169	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF3346	HP15_3288		anthranilate synthase component I	2	0.444170730617388	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF3349	HP15_3291		indole-3-glycerol phosphate synthase	3	0.438463733656728	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF3348	HP15_3290		anthranilate phosphoribosyltransferase	4	0.404573045191482	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1877	HP15_1834		protein containing 3-isopropylmalate dehydratase, large subunit region domain	5	0.356695949775235	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF3372	HP15_3314		N-acetyllutamate synthase	6	0.352915898815454	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1863	HP15_1820		methionine gamma-lyase	7	0.352697583443428	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1619	HP15_1578		type I restriction-modification system, methyltransferase subunit	8	0.351825620435659	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF3271	HP15_3213		threonine dehydratase biosynthetic	9	0.349331468888842	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF854	HP15_833		2,5-diketo-D-gluconic acid reductase B	10	0.344430577540476	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1849	HP15_1806		membrane-bound lytic murein transglycosylase D precursor	11	0.342282257842034	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF285	HP15_284		homoserine O-acetyltransferase	12	0.340308123658875	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1639	HP15_1598		FAD dependent oxidoreductase	13	0.339903093735971	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF3154	HP15_3096		membrane protein	14	0.331501573512297	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF4428	HP15_p187g136		hypothetical protein	15	0.331132820248344	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF2323	HP15_2271		protein containing DUF58	16	0.330788708352806	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1823	HP15_1781		beta-lactamase hydrolase-like protein	17	0.33030680801402	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1876	HP15_1833		isopropylmalate isomerase small subunit	18	0.328995186710328	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF1656	HP15_1615		TonB-dependent receptor, plug	19	0.327101736670601	FALSE
Marino	GFF1	HP15_1		hypothetical protein	GFF2973	HP15_2917		5,10-methylenetetrahydrofolate reductase-like protein	20	0.326644414891457	FALSE
Marino	GFF10	HP15_10		transporter	GFF281	HP15_280		putative oxygen-independent coproporphyrinogen III oxidase	1	0.453300362389632	FALSE
Marino	GFF10	HP15_10		transporter	GFF85	HP15_85		membrane protein containing cytochrome c assembly protein, transmembrane region domain	2	0.441987527754554	FALSE
Marino	GFF10	HP15_10		transporter	GFF4167	HP15_4107		endonuclease 8	3	0.433236416136986	FALSE
Marino	GFF10	HP15_10		transporter	GFF6	HP15_6		short-chain dehydrogenase/reductase SDR	4	0.421698295066046	FALSE
Marino	GFF10	HP15_10		transporter	GFF2042	HP15_1998		conserved hypothetical protein	5	0.419406089967163	FALSE
Marino	GFF10	HP15_10		transporter	GFF3575	HP15_3517		protein-glutamate O-methyltransferase	6	0.408968370042993	FALSE
Marino	GFF10	HP15_10		transporter	GFF46	HP15_46		amidohydrolase 2	7	0.40679648176385	FALSE
Marino	GFF10	HP15_10		transporter	GFF2363	HP15_2311		flagellar biosynthetic protein FliQ	8	0.406695092073321	FALSE
Marino	GFF10	HP15_10		transporter	GFF1966	HP15_1923		PEP-CTERM locus polysaccharide chain length determinant	9	0.403623786124416	FALSE
Marino	GFF10	HP15_10		transporter	GFF234	HP15_233		molybdenum cofactor biosynthesis protein B-like protein	10	0.401019735245043	FALSE
Marino	GFF10	HP15_10		transporter	GFF2374	HP15_2322		flagellar FliJ protein	11	0.397553488157849	FALSE
Marino	GFF10	HP15_10		transporter	GFF4303	HP15_p187g11		type II secretion system protein-like protein	12	0.390836861329588	FALSE
Marino	GFF10	HP15_10		transporter	GFF2361	HP15_2309		flagellar biosynthesis protein FlhB	13	0.389591051630556	FALSE
Marino	GFF10	HP15_10		transporter	GFF2364	HP15_2312		flagellar biosynthesis protein FliP	14	0.389210208131247	FALSE
Marino	GFF10	HP15_10		transporter	GFF1507	HP15_1472		flagellar basal-body rod protein FlgG	15	0.388442240882789	FALSE
Marino	GFF10	HP15_10		transporter	GFF1164	HP15_1141		enoyl-CoA hydratase/isomerase	16	0.386194417273701	FALSE
Marino	GFF10	HP15_10		transporter	GFF1647	HP15_1606		general secretion pathway protein I-like protein	17	0.385609690036214	FALSE
Marino	GFF10	HP15_10		transporter	GFF3153	HP15_3095		phage-related membrane protein	18	0.38397822361735	FALSE
Marino	GFF10	HP15_10		transporter	GFF2761	HP15_2705		inner-membrane translocator	19	0.383656163788521	FALSE
Marino	GFF10	HP15_10		transporter	GFF4305	HP15_p187g13		conserved hypothetical protein	20	0.382224212479495	FALSE
Marino	GFF100	HP15_100		saccharopine dehydrogenase	GFF1489	HP15_1454		thioesterase domain protein	1	0.384341859659172	FALSE
