orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8499624	DvMF_0390		hypothetical protein (RefSeq)	1	0.641421686250826	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8499287	DvMF_0065		membrane protein involved in aromatic hydrocarbon degradation (RefSeq)	2	0.552670983915056	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8500389	DvMF_1140		hypothetical protein (RefSeq)	3	0.548709772327996	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501058	DvMF_1794		3-isopropylmalate dehydrogenase (RefSeq)	4	0.542603544035463	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501055	DvMF_1791		2-isopropylmalate synthase (RefSeq)	5	0.525931988360388	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501056	DvMF_1792		3-isopropylmalate dehydratase large subunit (RefSeq)	6	0.524209353031365	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501057	DvMF_1793		3-isopropylmalate dehydratase, small subunit (RefSeq)	7	0.52328973753002	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8499269	DvMF_0048		argininosuccinate lyase (RefSeq)	8	0.519791379557698	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8502302	DvMF_3010		sigma54 specific transcriptional regulator, Fis family (RefSeq)	9	0.518838564690506	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8499847	DvMF_0612	proA	gamma-glutamyl phosphate reductase (RefSeq)	10	0.517874744763893	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8499267	DvMF_0046		ornithine carbamoyltransferase (RefSeq)	11	0.513546193566233	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501004	DvMF_1741		tryptophan synthase subunit beta (RefSeq)	12	0.513224043984348	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8502162	DvMF_2872	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein (RefSeq)	13	0.511392703982044	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8500629	DvMF_1377		gamma-glutamyl kinase (RefSeq)	14	0.508830588471757	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8502443	DvMF_3149		acetylornithine aminotransferase (RefSeq)	15	0.507205515002555	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8500980	DvMF_1717	argC	N-acetyl-gamma-glutamyl-phosphate reductase (RefSeq)	16	0.507109723006986	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501229	DvMF_1963	hisG	ATP phosphoribosyltransferase (RefSeq)	17	0.505823169375382	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8502455	DvMF_3161		pyrroline-5-carboxylate reductase (RefSeq)	18	0.505797426100467	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8500145	DvMF_0908		histidinol-phosphate aminotransferase (RefSeq)	19	0.501006644070111	FALSE
Miya	8499217	DvMF_0002		transcriptional regulator, XRE family (RefSeq)	8501005	DvMF_1742		Phosphoribosylanthranilate isomerase (RefSeq)	20	0.496466891008992	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8501686	DvMF_2404		protein of unknown function DUF1105 (RefSeq)	1	0.379761516677795	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8502092	DvMF_2805		ChrB protein (RefSeq)	2	0.356988858206296	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8500532	DvMF_1281		hypothetical protein (RefSeq)	3	0.313193200014818	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8501627	DvMF_2345		hypothetical protein (RefSeq)	4	0.311198401462091	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8500228	DvMF_0985		K potassium transporter (RefSeq)	5	0.303404473770308	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8501023	DvMF_1760		hypothetical protein (RefSeq)	6	0.300515860481196	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8501345	DvMF_2078		peptidyl-prolyl cis-trans isomerase cyclophilin type (RefSeq)	7	0.299603128777596	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8499249	DvMF_0029		hypothetical protein (RefSeq)	8	0.292953767713491	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8502156	DvMF_2867		protein of unknown function DUF847 (RefSeq)	9	0.29194543309719	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8502342	DvMF_3048		hypothetical protein (RefSeq)	10	0.289728221669251	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8499222	DvMF_R0001		tRNA-Gly (RefSeq)	11	0.285164509063522	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8500752	DvMF_1493		two component, sigma54 specific, transcriptional regulator, Fis family (RefSeq)	12	0.276845754523977	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8500392	DvMF_1143		flavodoxin (RefSeq)	13	0.274753711391114	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8500170	DvMF_0928		hypothetical protein (RefSeq)	14	0.274332053531259	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8501766	DvMF_2482		methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor (RefSeq)	15	0.27011944859268	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8499368	DvMF_0145		FAD-dependent pyridine nucleotide-disulphide oxidoreductase (RefSeq)	16	0.268555738140248	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8502301	DvMF_3009		oxidoreductase FAD/NAD(P)-binding domain protein (RefSeq)	17	0.266860368083038	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8500500	DvMF_1249		diguanylate cyclase (RefSeq)	18	0.264122579631193	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8501938	DvMF_2652		transcriptional regulator, MerR family (RefSeq)	19	0.259824586492436	FALSE
Miya	8499218	DvMF_0003		AMP-dependent synthetase and ligase (RefSeq)	8499282	DvMF_0060		UTP-glucose-1-phosphate uridylyltransferase (RefSeq)	20	0.25946575705679	FALSE
Miya	8499219	DvMF_0004		protein of unknown function DUF181 (RefSeq)	8499220	DvMF_0005		methyltransferase small (RefSeq)	1	0.725449634201272	FALSE
Miya	8499219	DvMF_0004		protein of unknown function DUF181 (RefSeq)	8500108	DvMF_0871		hypothetical protein (RefSeq)	2	0.693704121971326	FALSE
Miya	8499219	DvMF_0004		protein of unknown function DUF181 (RefSeq)	8500586	DvMF_1334		response regulator receiver protein (RefSeq)	3	0.668649398366166	FALSE
