orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5208017	Shew_0533		excinuclease ABC, A subunit (RefSeq)	1	0.843668961702313	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5209603	Shew_2064		excinuclease ABC subunit B (RefSeq)	2	0.839266945418575	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210364	Shew_2807		DNA repair protein RadA (RefSeq)	3	0.831786763831732	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5209351	Shew_1825	uvrC	excinuclease ABC subunit C (RefSeq)	4	0.82901013408852	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5208545	Shew_1056		DNA repair protein RecO (RefSeq)	5	0.800203316984742	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5208260	Shew_0772		single-stranded-DNA-specific exonuclease RecJ (RefSeq)	6	0.785998677649258	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210896	Shew_3322		transporter DMT superfamily protein (RefSeq)	7	0.766483076607753	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210690	Shew_3118		hypothetical protein (RefSeq)	8	0.765173525448674	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5211058	Shew_3474		ATP-dependent DNA helicase RecQ (RefSeq)	9	0.753439562025094	TRUE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210688	Shew_3116		hypothetical protein (RefSeq)	10	0.733791035457069	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210430	Shew_2871		DNA polymerase IV (RefSeq)	11	0.725805254822517	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210689	Shew_3117		hypothetical protein (RefSeq)	12	0.712456574078077	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210034	Shew_2482		DNA polymerase II (RefSeq)	13	0.711715260771895	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5209743	Shew_2196		helicase c2 (RefSeq)	14	0.706336035004759	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5209152	Shew_1630		transcription-repair coupling factor (RefSeq)	15	0.654878420149077	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210035	Shew_2483	dinG	ATP-dependent DNA helicase DinG (RefSeq)	16	0.63295280373184	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210959	Shew_3385	uvrD	DNA-dependent helicase II (RefSeq)	17	0.632606244546557	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5208076	Shew_0588		hypothetical protein (RefSeq)	18	0.630704798479147	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5208687	Shew_1196		recombination and repair protein (RefSeq)	19	0.629067217492767	FALSE
PV4	5207469	Shew_0003		DNA replication and repair protein RecF (RefSeq)	5210982	Shew_3408		hypothetical protein (RefSeq)	20	0.617678235109725	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5208643	Shew_1152		MscS mechanosensitive ion channel (RefSeq)	1	0.375226526657741	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5208393	Shew_0905		response regulator receiver protein (RefSeq)	2	0.368690765185942	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5210670	Shew_3098		NADH:flavin oxidoreductase/NADH oxidase (RefSeq)	3	0.322916278023671	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5209139	Shew_1617		hypothetical protein (RefSeq)	4	0.31525896751923	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5207781	Shew_0302		phosphoesterase, PA-phosphatase related (RefSeq)	5	0.308718569729894	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5211085	Shew_3501		tRNA guanosine-2'-O-methyltransferase (RefSeq)	6	0.294648767518205	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5208444	Shew_0956		peptidylprolyl isomerase, FKBP-type (RefSeq)	7	0.290300913112355	FALSE
PV4	5207471	Shew_0005		hypothetical protein (RefSeq)	5209053	Shew_1531	grxA	glutaredoxin 1 (RefSeq)	8	0.289706657866103	FALSE
