orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS00085	CA265_RS00085		hypothetical protein	1	0.586193476269986	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS18150	CA265_RS18150		hypothetical protein	2	0.5233805813785	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS11800	CA265_RS11800		hypothetical protein	3	0.516904096696293	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS00055	CA265_RS00055		hypothetical protein	4	0.516302961049866	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS12815	CA265_RS12815		hypothetical protein	5	0.492100389787497	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS10295	CA265_RS10295		RagB/SusD family nutrient uptake outer membrane protein	6	0.479167477520315	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS10370	CA265_RS10370		SusC/RagA family TonB-linked outer membrane protein	7	0.478529486505354	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS14210	CA265_RS14210		SusC/RagA family TonB-linked outer membrane protein	8	0.474987797567332	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS13430	CA265_RS13430		hypothetical protein	9	0.467024056991195	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS09130	CA265_RS09130		hypothetical protein	10	0.463251439370803	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS11885	CA265_RS11885		SusC/RagA family TonB-linked outer membrane protein	11	0.459882135186712	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS17045	CA265_RS17045		hypothetical protein	12	0.448110791444455	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS12965	CA265_RS12965		NAD-dependent dehydratase	13	0.447525794813699	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS07190	CA265_RS07190		DUF5009 domain-containing protein	14	0.447146147684975	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS19825	CA265_RS19825		SusC/RagA family protein	15	0.444001271272857	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS17880	CA265_RS17880		hypothetical protein	16	0.443291149452134	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS03210	CA265_RS03210		hypothetical protein	17	0.438934925356875	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS09305	CA265_RS09305		histone deacetylase	18	0.438487903226991	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS11790	CA265_RS11790		hypothetical protein	19	0.438055168247579	FALSE
Pedo557	CA265_RS00010	CA265_RS00010		DNA mismatch repair protein MutT	CA265_RS24110	CA265_RS24110		hypothetical protein	20	0.431181535822959	FALSE
Pedo557	CA265_RS00015	CA265_RS00015		hypothetical protein	CA265_RS04180	CA265_RS04180		cell division protein FtsX	1	0.510467200356989	FALSE
Pedo557	CA265_RS00015	CA265_RS00015		hypothetical protein	CA265_RS04335	CA265_RS04335		hypothetical protein	2	0.473703609468305	FALSE
Pedo557	CA265_RS00015	CA265_RS00015		hypothetical protein	CA265_RS17120	CA265_RS17120		hypothetical protein	3	0.459203880927866	FALSE
Pedo557	CA265_RS00015	CA265_RS00015		hypothetical protein	CA265_RS00055	CA265_RS00055		hypothetical protein	4	0.450622129402059	FALSE
