orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF3870	PGA1_78p00340		Uncharacterized protein, possibly involved in utilization of glycolate and propanediol	1	0.355190324521532	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2054	PGA1_c20870		molybdenum hydroxylase family protein, large subunit	2	0.344426920732846	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF3733	PGA1_262p01370		putative dioxygenase	3	0.33832184542092	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF3200	PGA1_c32530		CobW-like nucleotide-binding protein	4	0.336549648415135	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF25	PGA1_c00250		hypothetical protein	5	0.336498566283705	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2555	PGA1_c25960		putative biopolymer transport protein	6	0.316847474889321	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF1636	PGA1_c16580		CheR and CheB-like domain-containing protein	7	0.301885385093427	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF1758	PGA1_c17820		gene transfer agent major capsid protein	8	0.301106253459886	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF1693	PGA1_c17170		hypothetical protein	9	0.29856953257573	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2632	PGA1_c26730		probable S-adenosylmethionine-dependent methyltransferase, YraL family	10	0.293933504808363	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2644	PGA1_c26840		putative phenylacetic acid degradation operon negative regulatory protein	11	0.292154451358396	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF200	PGA1_c02040		hypothetical protein	12	0.289706549697392	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2556	PGA1_c25970		tonB-like protein	13	0.286727114011084	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF3876	PGA1_78p00400		tonB dependent receptor	14	0.284893472687435	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF3436	PGA1_c34890		putative histidine-containing phosphotransfer protein	15	0.283830078331281	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2785	PGA1_c28280		hypothetical protein	16	0.28254287683823	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF1977	PGA1_c20110		hypothetical protein	17	0.282187512302078	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF2683	PGA1_c27250		putative response regulator	18	0.281165082770487	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF846	PGA1_c08600		diguanylate cyclase (GGDEF) domain-containing protein	19	0.280642672745568	FALSE
Phaeo	GFF10	PGA1_c00100		ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	GFF1045	PGA1_c10610		hypothetical protein	20	0.279882683148429	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF3095	PGA1_c31460		conserved hypothetical protein	1	0.262265137402369	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF996	PGA1_c10130		glutathione import ATP-binding protein GsiA	2	0.262130962566456	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF3075	PGA1_c31260		Protein of unknown function (DUF3131).	3	0.261749288940616	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF3076	PGA1_c31270		putative glycosyltransferase / polysaccharide deacetylase	4	0.261233860570882	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF2930	PGA1_c29770		putative mechanosensitive ion channel	5	0.254111824721977	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF53	PGA1_c00530		Phosphotransferase enzyme family.	6	0.251175381616395	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF1547	PGA1_c15670		putative beta-lactamase	7	0.239894405067018	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF489	PGA1_c05000		Predicted membrane protein	8	0.238827090549726	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF3387	PGA1_c34400		aminotransferase class-III	9	0.237955617915794	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF903	PGA1_c09180		Protein of unknown function (DUF2478).	10	0.237244916511215	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF1980	PGA1_c20140		putative arginine-tRNA-protein transferase	11	0.234972490065194	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF366	PGA1_c03770		hypothetical protein	12	0.234794122744255	FALSE
Phaeo	GFF1000	PGA1_c10170		putative hippurate hydrolase	GFF3193	PGA1_c32460		putative NUDIX hydrolase	13	0.234595324711857	FALSE
