orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_03850	CA264_03850		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase	1	0.585508494126426	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_05070	CA264_05070		indole-3-glycerol phosphate synthase	2	0.563377503676755	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_00925	CA264_00925		hypothetical protein	3	0.534184701593269	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_04205	CA264_04205		hypothetical protein	4	0.526466974885564	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_03845	CA264_03845		peptidase M17	5	0.518955939694782	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_02515	CA264_02515		nitrite reductase	6	0.514495354860882	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_07240	CA264_07240		hypothetical protein	7	0.513444352800241	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_02520	CA264_02520		uroporphyrinogen-III C-methyltransferase	8	0.501691409387136	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_21665	CA264_21665		2-hydroxyacid dehydrogenase	9	0.498433051346387	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_18635	CA264_18635		phosphoribosylglycinamide formyltransferase	10	0.496090656261205	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_10925	CA264_10925		fatty acid hydroxylase	11	0.490783064718739	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_08660	CA264_08660		sodium:proton antiporter	12	0.488854314899796	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_04420	CA264_04420		Xaa-Pro aminopeptidase	13	0.486662461696353	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_14175	CA264_14175		hypothetical protein	14	0.478183650624859	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_18855	CA264_18855		chromosome segregation protein ScpA	15	0.476362161811218	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_06165	CA264_06165		hypothetical protein	16	0.466015386143003	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_09555	CA264_09555		potassium transporter Kup	17	0.463867010083354	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_04425	CA264_04425		endonuclease	18	0.459082459516332	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_09240	CA264_09240		aldehyde dehydrogenase	19	0.45451828581883	FALSE
Ponti	CA264_00010	CA264_00010		hypothetical protein	CA264_09245	CA264_09245		hypothetical protein	20	0.443840099344369	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_13100	CA264_13100		3-phosphoshikimate 1-carboxyvinyltransferase	1	0.720681588255367	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_19860	CA264_19860		NifU family protein	2	0.655283027382209	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_03810	CA264_03810		hypothetical protein	3	0.642472295811014	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_10805	CA264_10805		NADPH-dependent oxidoreductase	4	0.633229258673937	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_13080	CA264_13080		aminodeoxychorismate lyase	5	0.630667097237818	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_06345	CA264_06345		hypothetical protein	6	0.614010143202762	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_16925	CA264_16925		SAM-dependent methyltransferase	7	0.572610269977172	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_10930	CA264_10930		methylglutaconyl-CoA hydratase	8	0.570661739382776	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_07030	CA264_07030		UDP-glucose 4-epimerase	9	0.570369124162489	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_14455	CA264_14455		ribosome maturation factor	10	0.558789520541545	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_09230	CA264_09230		hydroxymethylglutaryl-CoA lyase	11	0.555732482980279	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_19090	CA264_19090		hypothetical protein	12	0.549471725355145	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_19450	CA264_19450		type I methionyl aminopeptidase	13	0.549408183447595	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_00125	CA264_00125		hypothetical protein	14	0.547419043412296	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_09620	CA264_09620		hypothetical protein	15	0.547301449887302	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_19615	CA264_19615		hypothetical protein	16	0.546757462314602	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_13600	CA264_13600		SusC/RagA family TonB-linked outer membrane protein	17	0.543806793577384	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_06990	CA264_06990		PA-phosphatase	18	0.537404217262694	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_01725	CA264_01725		NADH-quinone oxidoreductase subunit K	19	0.535814028201141	FALSE
Ponti	CA264_00015	CA264_00015		hypothetical protein	CA264_01705	CA264_01705		NADH-quinone oxidoreductase subunit H	20	0.533571983876742	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_00875	CA264_00875		cell envelope biogenesis protein LolA	1	0.581195518079457	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_12420	CA264_12420		ABC transporter ATP-binding protein	2	0.575822593107761	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_04580	CA264_04580		hypothetical protein	3	0.538026443123556	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_03565	CA264_03565		transposase	4	0.524157149193375	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_04605	CA264_04605		hypothetical protein	5	0.493776113038598	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_19205	CA264_19205		hypothetical protein	6	0.487989824157495	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_00030	CA264_00030		peptidoglycan-binding protein	7	0.481049051118677	FALSE
Ponti	CA264_00025	CA264_00025		RIP metalloprotease RseP	CA264_05190	CA264_05190		hypothetical protein	8	0.477731976894148	FALSE
