orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_000410	TX73_000410		PAS-domain containing protein	1	0.495505199301312	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_005960	TX73_005960		exodeoxyribonuclease VII large subunit	2	0.417239931266719	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_021705	TX73_021705		sigma-54 dependent transcriptional regulator	3	0.410148878979253	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_023890	TX73_023890		phosphopantetheine-binding protein	4	0.409644443916364	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_010185	TX73_010185		TRAP transporter large permease subunit	5	0.407455895819927	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_023450	TX73_023450		EAL domain-containing protein	6	0.391579333139995	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_018165	TX73_018165		UvrD-helicase domain-containing protein	7	0.36376176293725	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_019715	TX73_019715		high-affinity branched-chain amino acid ABC transporter permease LivM	8	0.363473712535466	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_010190	TX73_010190		TRAP transporter small permease subunit	9	0.363349510044748	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_014975	TX73_014975		SurA N-terminal domain-containing protein	10	0.363193522646791	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_004420	TX73_004420		hypothetical protein	11	0.362571066010196	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_010180	TX73_010180		TRAP transporter substrate-binding protein	12	0.361158498165453	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_019725	TX73_019725		ABC transporter ATP-binding protein	13	0.359885326221026	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_000815	TX73_000815		50S ribosomal protein L21	14	0.356028833377885	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_007630	TX73_007630		phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	15	0.353055132305744	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_016860	TX73_016860		helix-turn-helix domain-containing protein	16	0.351046310239958	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_000555	TX73_000555		thiamine pyrophosphate-binding protein	17	0.344744404612639	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_009560	TX73_009560		peptidoglycan-binding protein	18	0.333849980691779	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_022270	TX73_022270		Cys-tRNA(Pro) deacylase	19	0.333544883506001	FALSE
RPal_CGA009	TX73_000015	TX73_000015		DNA replication/repair protein RecF	TX73_022760	TX73_022760		metallophosphoesterase	20	0.333514508789248	FALSE
RPal_CGA009	TX73_000025	TX73_000025		4-hydroxyphenylpyruvate dioxygenase	TX73_016365	TX73_016365		polysaccharide deacetylase family protein	1	0.474794627765522	FALSE
RPal_CGA009	TX73_000025	TX73_000025		4-hydroxyphenylpyruvate dioxygenase	TX73_023485	TX73_023485		hypothetical protein	2	0.456353846668708	FALSE
RPal_CGA009	TX73_000025	TX73_000025		4-hydroxyphenylpyruvate dioxygenase	TX73_000125	TX73_000125		NAD(P)-dependent oxidoreductase	3	0.439111358876906	FALSE
RPal_CGA009	TX73_000025	TX73_000025		4-hydroxyphenylpyruvate dioxygenase	TX73_004230	TX73_004230		glutathione transferase GstA	4	0.436978861756571	FALSE
RPal_CGA009	TX73_000025	TX73_000025		4-hydroxyphenylpyruvate dioxygenase	TX73_003130	TX73_003130		phosphoenolpyruvate--protein phosphotransferase	5	0.396444623565615	FALSE
