orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936859	Sama_1041	surE	stationary phase survival protein SurE (RefSeq)	1	0.640302333588042	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936796	Sama_0978		phosphoserine phosphatase (RefSeq)	2	0.623641612055657	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6938846	Sama_2949		D-3-phosphoglycerate dehydrogenase (RefSeq)	3	0.619730302714674	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6937648	Sama_1800		universal stress protein UspE (RefSeq)	4	0.614781426514276	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6937209	Sama_1379		enoyl-CoA hydratase/isomerase family protein (RefSeq)	5	0.606664613730092	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6937578	Sama_1733		aromatic amino acid aminotransferase (RefSeq)	6	0.593390101114132	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936963	Sama_1137		PII uridylyl-transferase (RefSeq)	7	0.592936905644281	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6938787	Sama_2890		Sulfate adenylyltransferase (RefSeq)	8	0.591465496570659	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6938788	Sama_2891		sulfate adenylyltransferase subunit 2 (RefSeq)	9	0.582446465799557	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936498	Sama_0686		ROK family protein (RefSeq)	10	0.582268425961065	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936718	Sama_0905	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (RefSeq)	11	0.581425521506065	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936832	Sama_1014	glyA	serine hydroxymethyltransferase (RefSeq)	12	0.576333984942841	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6938789	Sama_2892		uroporphyrin-III C-methyltransferase (RefSeq)	13	0.574925838627639	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6937252	Sama_1422	gltA	type II citrate synthase (RefSeq)	14	0.569305550182531	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936133	Sama_0330		N-acetylglutamate synthase (RefSeq)	15	0.56920920120152	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6938683	Sama_2786		putative transcriptional regulator (RefSeq)	16	0.568275732200179	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6939389	Sama_3481		LexA repressor (RefSeq)	17	0.564902703508599	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936706	Sama_0893		phospho-2-dehydro-3-deoxyheptonate aldolase (RefSeq)	18	0.564493124917063	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6936643	Sama_0830		2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase (RefSeq)	19	0.562304763948505	FALSE
SB2B	6935783	Sama_0001		flavodoxin (RefSeq)	6937904	Sama_2045		aminodeoxychorismate lyase (RefSeq)	20	0.561538313943915	FALSE
SB2B	6935784	Sama_0002		hypothetical protein (RefSeq)	6935786	Sama_0004		alcohol dehydrogenase, zinc-binding (RefSeq)	1	0.502199765032573	FALSE
SB2B	6935784	Sama_0002		hypothetical protein (RefSeq)	6939535	Sama_3627		signal transduction protein (RefSeq)	2	0.501053131264271	FALSE
SB2B	6935784	Sama_0002		hypothetical protein (RefSeq)	6935810	Sama_0028		amidohydrolase (RefSeq)	3	0.459930748781772	FALSE
