orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0500	Synpcc7942_0500		hypothetical protein	1	0.801404100674167	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1587	Synpcc7942_1587		integral membrane protein-like	2	0.78699358352534	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_2543	Synpcc7942_2543		phage SPO1 DNA polymerase-related protein	3	0.783029019139832	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1668	Synpcc7942_1668	kdpA	potassium-transporting ATPase subunit A	4	0.759233539489359	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0234	Synpcc7942_0234		hypothetical protein	5	0.751709105361889	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1914	Synpcc7942_1914		hypothetical protein	6	0.74692025799595	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1784	Synpcc7942_1784	sigF2	RNA polymerase sigma factor SigF	7	0.739370065851962	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0619	Synpcc7942_0619		hypothetical protein	8	0.729625725147972	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1867	Synpcc7942_1867		Deoxyribodipyrimidine photo-lyase family protein	9	0.729435520708559	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0740	Synpcc7942_0740		GPJ of phage P2-like	10	0.72172001068325	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0938	Synpcc7942_0938		transcriptional regulator, ArsR family	11	0.720996679579384	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1506	Synpcc7942_1506		hypothetical protein	12	0.712103996801547	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1942	Synpcc7942_1942	prxQ-A3	bacterioferritin comigratory protein-like	13	0.710998195406213	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1643	Synpcc7942_1643		diguanylate cyclase with GAF sensor	14	0.710169612411502	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1820	Synpcc7942_1820		hypothetical protein	15	0.708732219098076	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0994	Synpcc7942_0994		hypothetical protein	16	0.704766036053689	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1997	Synpcc7942_1997	hliA	high light-inducible protein	17	0.702989711356859	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_1167	Synpcc7942_1167		hypothetical protein	18	0.702290910794245	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0252	Synpcc7942_0252	cp12	hypothetical protein	19	0.70157502317555	FALSE
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	Synpcc7942_0730	Synpcc7942_0730		hypothetical protein	20	0.699823805656712	FALSE
