orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_4520	Psyr_4520		Excinuclease ABC subunit A	1	0.927527001068611	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_2896	Psyr_2896		Excinuclease ABC subunit C	2	0.912050612718137	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_3949	Psyr_3949		DNA replication and repair protein RecO	3	0.904070494439533	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_1974	Psyr_1974		Excinuclease ABC subunit B	4	0.894052045203923	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_3396	Psyr_3396		DNA replication and repair protein RecR	5	0.855411669179546	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_2913	Psyr_2913		transcriptional regulator, LysR family	6	0.792449019404916	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_0393	Psyr_0393		Protein of unknown function DUF971	7	0.769707546059695	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_4281	Psyr_4281		cytochrome bd quinol oxidase subunit 2 apoprotein	8	0.682686576620045	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_0201	Psyr_0201		ATP-dependent DNA helicase RecG	9	0.675778683530638	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_4231	Psyr_4231		ATP-binding region, ATPase-like:Histidine kinase A, N-terminal	10	0.65831240050053	TRUE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_3738	Psyr_3738		ATP-dependent DNA helicase RecQ	11	0.647102462693541	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_4698	Psyr_4698		RarD protein	12	0.642289082295908	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_2968	Psyr_2968		Hydrophobe/amphiphile efflux-1 HAE1	13	0.617001350575917	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_4230	Psyr_4230		Helix-turn-helix, Fis-type	14	0.580500059562841	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_1378	Psyr_1378		RecA protein	15	0.576111730381411	FALSE
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	Psyr_0185	Psyr_0185		tyrosine recombinase XerC subunit	16	0.541140111173145	FALSE
