orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS25390	ABID97_RS25390		23S ribosomal RNA	1	0.646165387296497	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS25400	ABID97_RS25400		tRNA-Ile	2	0.596198567273123	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS08350	ABID97_RS08350		translation elongation factor 4	3	0.579876118907965	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS16000	ABID97_RS16000		TatD family hydrolase	4	0.519240474725315	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS07300	ABID97_RS07300		endonuclease/exonuclease/phosphatase family protein	5	0.516951152133924	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS08790	ABID97_RS08790		oligoribonuclease	6	0.50747243712004	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS07295	ABID97_RS07295		dihydroneopterin triphosphate diphosphatase	7	0.50052609852606	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS25005	ABID97_RS25005		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	8	0.499876302759515	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS01900	ABID97_RS01900		NAD(P)H-dependent oxidoreductase	9	0.497525624104663	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	10	0.489965746724004	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS23630	ABID97_RS23630		radical SAM family heme chaperone HemW	11	0.475255062853646	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS03185	ABID97_RS03185		adenylate/guanylate cyclase domain-containing protein	12	0.457607281616763	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS02210	ABID97_RS02210		pilin	13	0.455021927525804	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS09935	ABID97_RS09935		hypothetical protein	14	0.446456346799476	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS08200	ABID97_RS08200		LytTR family DNA-binding domain-containing protein	15	0.43710507622202	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS00255	ABID97_RS00255		type IV pilus twitching motility protein PilT	16	0.436440572165413	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS19110	ABID97_RS19110		hypothetical protein	17	0.430292938463604	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS24705	ABID97_RS24705		response regulator	18	0.42542495724247	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS07315	ABID97_RS07315		DMT family transporter	19	0.425152430753777	FALSE
Variovorax_OAS795	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	ABID97_RS23285	ABID97_RS23285		pilus assembly protein PilM	20	0.422699122071679	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS25405	ABID97_RS25405		16S ribosomal RNA	1	0.535412941191649	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS00005	ABID97_RS00005		ATP-binding cassette domain-containing protein	2	0.489965746724004	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS04890	ABID97_RS04890		cation:proton antiporter	3	0.450472752042435	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS07805	ABID97_RS07805		50S ribosomal protein L33	4	0.449349408675578	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS04885	ABID97_RS04885		YbdK family carboxylate-amine ligase	5	0.42568941945441	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS25390	ABID97_RS25390		23S ribosomal RNA	6	0.420749998474775	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS08775	ABID97_RS08775		ribosome small subunit-dependent GTPase A	7	0.406425319315815	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS16615	ABID97_RS16615		ATP-dependent RNA helicase HrpA	8	0.403805745218116	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS25210	ABID97_RS25210		glutamate carboxypeptidase	9	0.402237817137399	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS18140	ABID97_RS18140		ferritin-like domain-containing protein	10	0.380608784880306	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS00020	ABID97_RS00020		TonB-dependent receptor	11	0.378969421934509	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS08350	ABID97_RS08350		translation elongation factor 4	12	0.378152463128393	FALSE
Variovorax_OAS795	ABID97_RS00010	ABID97_RS00010		phospholipase D family protein	ABID97_RS02210	ABID97_RS02210		pilin	13	0.365362302693645	FALSE
