orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.4596.1	Xcc-8004.4596.1		hypothetical protein	1	0.985477823304586	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.3855.1	Xcc-8004.3855.1		FIG01209965: hypothetical protein	2	0.982590111247558	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.4976.1	Xcc-8004.4976.1		hypothetical protein	3	0.980418518070595	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.4024.1	Xcc-8004.4024.1		3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-)	4	0.97317843929944	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2421.1	Xcc-8004.2421.1		Polyhydroxyalkanoic acid synthase	5	0.955147515345885	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.968.1	Xcc-8004.968.1		Periplasmic thiol:disulfide interchange protein DsbA	6	0.954756336765962	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2420.1	Xcc-8004.2420.1		PHA synthase subunit	7	0.953778113498544	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2316.1	Xcc-8004.2316.1		N-acetylornithine carbamoyltransferase (EC 2.1.3.9)	8	0.952216249963849	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.4740.1	Xcc-8004.4740.1		Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB	9	0.951810419862461	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2323.1	Xcc-8004.2323.1		Argininosuccinate lyase (EC 4.3.2.1)	10	0.944339375564058	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2937.1	Xcc-8004.2937.1		Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	11	0.939889737167532	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2319.1	Xcc-8004.2319.1		Acetylornithine deacetylase (EC 3.5.1.16)	12	0.939694272597601	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.3614.1	Xcc-8004.3614.1		hypothetical protein	13	0.936802912100135	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.956.1	Xcc-8004.956.1		Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)	14	0.935551625651099	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2384.1	Xcc-8004.2384.1		Heat shock (predicted periplasmic) protein YciM, precursor	15	0.931916002034422	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2322.1	Xcc-8004.2322.1		N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	16	0.931275189626947	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2954.1	Xcc-8004.2954.1		Threonine synthase (EC 4.2.3.1)	17	0.93085443414438	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.2977.1	Xcc-8004.2977.1		hypothetical protein	18	0.930761777654791	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.3992.1	Xcc-8004.3992.1		Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	19	0.928458350189093	FALSE
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	Xcc-8004.3536.1	Xcc-8004.3536.1		FIG01210913: hypothetical protein	20	0.926352577474373	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.2826.1	Xcc-8004.2826.1		diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	1	0.89107823487833	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.2765.1	Xcc-8004.2765.1		Sensory box/GGDEF family protein	2	0.875882998449622	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.673.1	Xcc-8004.673.1		Transcriptional regulator pbsX family	3	0.844465866993307	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.4490.1	Xcc-8004.4490.1		Lipopolysaccharide biosynthesis protein RffA	4	0.829568972538886	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.1714.1	Xcc-8004.1714.1		Twitching motility protein PilT	5	0.828607371940946	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.2284.1	Xcc-8004.2284.1		diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	6	0.825826225776134	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.3640.1	Xcc-8004.3640.1		Hypothetical Zinc-finger containing protein	7	0.822910357995183	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.1471.1	Xcc-8004.1471.1		hypothetical protein	8	0.822042436156798	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.576.1	Xcc-8004.576.1		FIG01210281: hypothetical protein	9	0.821940636266575	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.3223.1	Xcc-8004.3223.1		phage-related integrase	10	0.819187345789967	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.4435.1	Xcc-8004.4435.1		hypothetical protein	11	0.802780636232092	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.5097.1	Xcc-8004.5097.1		Dipeptidyl peptidase IV	12	0.799839923126173	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.5345.1	Xcc-8004.5345.1		hypothetical protein	13	0.798977918305639	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.109.1	Xcc-8004.109.1		L-Proline/Glycine betaine transporter ProP	14	0.795569729883393	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.915.1	Xcc-8004.915.1		membrane protein, putative	15	0.795446174233712	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.2271.1	Xcc-8004.2271.1		Esterase/lipase	16	0.792107350819634	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.4491.1	Xcc-8004.4491.1		Glycosyltransferase	17	0.791192644800641	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.1648.1	Xcc-8004.1648.1		hypothetical protein	18	0.78320960975633	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.5308.1	Xcc-8004.5308.1		Cobalt-zinc-cadmium resistance protein CzcA; Cation efflux system protein CusA	19	0.782449968861399	FALSE
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	Xcc-8004.606.1	Xcc-8004.606.1		Histone acetyltransferase HPA2 and related acetyltransferases	20	0.780544935423073	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.2978.1	Xcc-8004.2978.1		hypothetical protein	1	0.778009992043128	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.5327.1	Xcc-8004.5327.1		leucin rich protein	2	0.745065493731835	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.2222.1	Xcc-8004.2222.1		FIG01209757: hypothetical protein	3	0.712709415020412	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.3299.1	Xcc-8004.3299.1		FIG01210541: hypothetical protein	4	0.709606387655144	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.5022.1	Xcc-8004.5022.1		Uncharacterized iron-regulated membrane protein; Iron-uptake factor PiuB	5	0.699930028879433	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.2540.1	Xcc-8004.2540.1		Methyl-accepting chemotaxis protein	6	0.693076609309133	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.873.1	Xcc-8004.873.1		S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	7	0.691302394771251	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.5006.1	Xcc-8004.5006.1		FIG01210483: hypothetical protein	8	0.687863254723035	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.4038.1	Xcc-8004.4038.1		hypothetical protein	9	0.674347508686236	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.2783.1	Xcc-8004.2783.1		FIG01209963: hypothetical protein	10	0.664327159296335	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.371.1	Xcc-8004.371.1		transcriptional regulator	11	0.66163905219302	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.139.1	Xcc-8004.139.1		Ku domain protein	12	0.651357960620465	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.893.1	Xcc-8004.893.1		hypothetical protein	13	0.65045698663568	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.392.1	Xcc-8004.392.1		FMN oxidoreductase	14	0.648696454897724	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.3228.1	Xcc-8004.3228.1		hypothetical protein	15	0.648249191318768	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.2990.1	Xcc-8004.2990.1		hypothetical protein	16	0.645938506551104	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.1269.1	Xcc-8004.1269.1		glycosyl hydrolase	17	0.642596232403617	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.1942.1	Xcc-8004.1942.1		putative membrane protein	18	0.640815042742732	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.1910.1	Xcc-8004.1910.1		hypothetical protein	19	0.637645006203726	FALSE
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	Xcc-8004.3331.1	Xcc-8004.3331.1		FIG01210780: hypothetical protein	20	0.636419965476424	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.4869.1	Xcc-8004.4869.1		hypothetical protein	1	0.687129753308773	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.852.1	Xcc-8004.852.1		ATP-dependent hsl protease ATP-binding subunit HslU	2	0.686477107895264	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.3155.1	Xcc-8004.3155.1		Phosphate transport regulator (distant homolog of PhoU)	3	0.680637367165065	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.3043.1	Xcc-8004.3043.1		hypothetical protein	4	0.676000856009483	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.2276.1	Xcc-8004.2276.1		COG0488: ATPase components of ABC transporters with duplicated ATPase domains	5	0.675797849359811	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.3982.1	Xcc-8004.3982.1		Propionate catabolism operon regulatory protein PrpR	6	0.673821264526622	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.1228.1	Xcc-8004.1228.1		Xaa-Pro dipeptidase PepQ (EC 3.4.13.9)	7	0.673753487282177	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.898.1	Xcc-8004.898.1		putative; ORF located using Glimmer/Genemark	8	0.664699045113412	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.3785.1	Xcc-8004.3785.1		Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	9	0.653109339573143	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.841.1	Xcc-8004.841.1		Valine--pyruvate aminotransferase (EC 2.6.1.66)	10	0.647730192403263	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.2580.1	Xcc-8004.2580.1		Mobile element protein	11	0.644280112402204	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.1245.1	Xcc-8004.1245.1		COG2110, Macro domain, possibly ADP-ribose binding module	12	0.636395051167056	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.672.1	Xcc-8004.672.1		FIG01211636: hypothetical protein	13	0.627651316724753	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.4385.1	Xcc-8004.4385.1		Methionine ABC transporter ATP-binding protein	14	0.627489321537482	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.932.1	Xcc-8004.932.1		histidine kinase/response regulator hybrid protein	15	0.624914146357993	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.5172.1	Xcc-8004.5172.1		hypothetical protein	16	0.618883983596545	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.4378.1	Xcc-8004.4378.1		sensor histidine kinase	17	0.610494726160291	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.3966.1	Xcc-8004.3966.1		hypothetical protein	18	0.604706501175465	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.1211.1	Xcc-8004.1211.1		5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	19	0.59888263303813	FALSE
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	Xcc-8004.2823.1	Xcc-8004.2823.1		Flagellar biosynthesis protein FliR	20	0.596605681674147	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.5257.1	Xcc-8004.5257.1		Tryptophan halogenase	1	0.690067615079102	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.2608.1	Xcc-8004.2608.1		NAD(FAD)-utilizing dehydrogenases	2	0.687138355083207	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.469.1	Xcc-8004.469.1		Glycerol kinase (EC 2.7.1.30)	3	0.670299300483734	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.3418.1	Xcc-8004.3418.1		Hydrogen peroxide-inducible genes activator	4	0.659264788345096	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.785.1	Xcc-8004.785.1		hypothetical protein	5	0.659098235830967	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.4005.1	Xcc-8004.4005.1		Glycosyltransferase	6	0.646722208407444	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.3619.1	Xcc-8004.3619.1		hypothetical protein	7	0.636273480264878	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.1874.1	Xcc-8004.1874.1		Iojap protein	8	0.628301984579526	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.3657.1	Xcc-8004.3657.1		FIG003033: Helicase domain protein	9	0.622198461753049	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.2922.1	Xcc-8004.2922.1		Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	10	0.616519742384751	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.2207.1	Xcc-8004.2207.1		Membrane fusion component of tripartite multidrug resistance system	11	0.613408941254184	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.2158.1	Xcc-8004.2158.1		Gamma-glutamyltranspeptidase (EC 2.3.2.2)	12	0.612604877618399	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.1742.1	Xcc-8004.1742.1		hypothetical protein	13	0.58389205848796	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.3063.1	Xcc-8004.3063.1		D-xylose proton-symporter XylE	14	0.583254747995047	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.661.1	Xcc-8004.661.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	15	0.579958115802855	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.576.1	Xcc-8004.576.1		FIG01210281: hypothetical protein	16	0.577051687093241	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.4245.1	Xcc-8004.4245.1		FIG01213330: hypothetical protein	17	0.573831358348802	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.1972.1	Xcc-8004.1972.1		diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	18	0.571074924799633	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.673.1	Xcc-8004.673.1		Transcriptional regulator pbsX family	19	0.562910522940671	FALSE
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	Xcc-8004.1474.1	Xcc-8004.1474.1		Response regulator	20	0.55994772040238	FALSE
Xantho	Xcc-8004.1003.1	Xcc-8004.1003.1		FIG027190: Putative transmembrane protein	Xcc-8004.1848.1	Xcc-8004.1848.1		Ribonuclease E inhibitor RraA	1	0.600684946304341	FALSE
Xantho	Xcc-8004.1003.1	Xcc-8004.1003.1		FIG027190: Putative transmembrane protein	Xcc-8004.4406.1	Xcc-8004.4406.1		Cellulose synthase operon protein C	2	0.59710684943909	FALSE
Xantho	Xcc-8004.1003.1	Xcc-8004.1003.1		FIG027190: Putative transmembrane protein	Xcc-8004.1608.1	Xcc-8004.1608.1		Histidine kinase/response regulator hybrid protein	3	0.591424829326524	FALSE
Xantho	Xcc-8004.1003.1	Xcc-8004.1003.1		FIG027190: Putative transmembrane protein	Xcc-8004.895.1	Xcc-8004.895.1		FIG01213692: hypothetical protein	4	0.588599310476825	FALSE
