orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_3673			putative exported protein	1	0.488172304979067	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_2948			Ethidium bromide-methyl viologen resistance protein EmrE	2	0.405327847767183	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_3893			putative transmembrane protein	3	0.370835261058532	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_4425			putative polysaccharide deacetylase	4	0.368927452637728	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_3277			LysR family transcriptional regulator PA2758	5	0.367000044110742	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_4043			TonB, C-terminal precursor	6	0.366666964737586	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_1084			D-glycerate 2-kinase (EC 2.7.1.-)	7	0.362829697146476	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_3722			Urease accessory protein UreD	8	0.362449068785592	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_3626			Probable lipoprotein signal peptide	9	0.347803308603972	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_2088			Streptococcal hemagglutinin protein	10	0.34709457479898	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_4661			Adenylate cyclase (EC 4.6.1.1)	11	0.34442484603048	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_2440			FIG00931200: hypothetical protein	12	0.339681283955117	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_593			DinG family ATP-dependent helicase CPE1197	13	0.336435091287743	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_4156			OsmC family protein	14	0.33599877365113	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_1975			Cysteine synthase (EC 2.5.1.47)	15	0.330129165967674	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_697			Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	16	0.32711842202197	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_635			Tartrate dehydrogenase (EC 1.1.1.93) @ Tartrate decarboxylase (EC 4.1.1.73) @ D-malic enzyme (EC 1.1.1.83)	17	0.326862288040784	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_2170			Methionine ABC transporter ATP-binding protein	18	0.314154771078405	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_2766			hypothetical protein	19	0.3115205494338	FALSE
acidovorax_3H11	Ac3H11_1			Transcriptional regulator, AraC family	Ac3H11_3306			hypothetical protein	20	0.311346233204386	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_4343			hypothetical protein	1	0.555225381014361	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_4024			Sugar kinases, ribokinase family	2	0.552482431640458	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_132			Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	3	0.55136445141444	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_4846			Transcriptional regulator	4	0.52493928877681	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_955			Dihydroxy-acid dehydratase (EC 4.2.1.9)	5	0.521924047251306	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_277			4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	6	0.520637577909104	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_576			Oxidoreductase probably involved in sulfite reduction	7	0.514324490301278	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_3146			Sensor histidine kinase PrrB (RegB) (EC 2.7.3.-)	8	0.502703491110477	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_1650			FIG00537534: hypothetical protein	9	0.501565333845513	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_4848			D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	10	0.496637464798361	FALSE
acidovorax_3H11	Ac3H11_10			Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	Ac3H11_4092			Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	11	0.494463368534158	FALSE
