orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS05235	AZOBR_RS05235		hypothetical protein	1	0.503226644296938	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS26395	AZOBR_RS26395		endoribonuclease	2	0.463698262981766	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS16120	AZOBR_RS16120		exopolyphosphatase	3	0.433589651077566	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS24210	AZOBR_RS24210		two-component response regulator	4	0.433479344754136	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS13225	AZOBR_RS13225		exported protein of unknown function	5	0.428977524030633	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS03705	AZOBR_RS03705		glutathione S-transferase	6	0.425320573739957	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS23440	AZOBR_RS23440		MarR family transcriptional regulator	7	0.423795237222702	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS08105	AZOBR_RS08105		enoyl-ACP reductase	8	0.423004545568348	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS09650	AZOBR_RS09650		lysine transporter LysE	9	0.416370406013424	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS01025	AZOBR_RS01025		hypothetical protein	10	0.394497298188793	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS03015	AZOBR_RS03015		heat shock protein Hsp20	11	0.394082361492153	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS21475	AZOBR_RS21475		X-Pro dipeptidyl-peptidase	12	0.391696150329897	FALSE
azobra	AZOBR_RS00015	AZOBR_RS00015		suhB	AZOBR_RS25660	AZOBR_RS25660		amidohydrolase	13	0.39013211566985	FALSE
