orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF99	Psest_0099		phosphonate ABC transporter, periplasmic phosphonate binding protein	1	0.625623006878694	TRUE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF98	Psest_0098		phosphonate ABC transporter, permease protein PhnE	2	0.589839590968729	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF91	Psest_0091		phosphonate C-P lyase system protein PhnL	3	0.47733932617149	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF95	Psest_0095		phosphonate C-P lyase system protein PhnH	4	0.43454370266186	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF93	Psest_0093		Uncharacterized enzyme of phosphonate metabolism	5	0.37897312067709	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF1672	Psest_1710		Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	6	0.334179689632749	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF94	Psest_0094		Uncharacterized enzyme of phosphonate metabolism	7	0.324189078958353	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF454	Psest_0459		Predicted carbamoyl transferase, NodU family	8	0.285086547122664	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF196	Psest_0197		TRAP transporter, 4TM/12TM fusion protein	9	0.268570947687558	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF1766	Psest_1805		integration host factor, beta subunit	10	0.264851566359561	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF102	Psest_0102		malonate decarboxylase, alpha subunit	11	0.260816648339128	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF3629	Psest_3696		Predicted thioesterase	12	0.255614123499795	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF2379	Psest_2427		SH3 domain protein	13	0.253929830021841	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF311	Psest_0312		Superfamily II DNA and RNA helicases	14	0.249111747759025	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF97	Psest_0097		phosphonates metabolism transcriptional regulator PhnF	15	0.247075281893137	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF1272	Psest_1305		Heat shock protein	16	0.245829658566188	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF3982	Psest_4055		ABC transporter, substrate-binding protein, aliphatic sulfonates family	17	0.241695811194665	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF197	Psest_0198		TRAP transporter solute receptor, TAXI family	18	0.240653240786289	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF3808	Psest_3877		Predicted membrane protein	19	0.238209141035474	FALSE
psRCH2	GFF100	Psest_0100		phosphonate ABC transporter, ATP-binding protein	GFF1025	Psest_1058		ribosomal-protein-alanine acetyltransferase	20	0.237260695369439	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1064	Psest_1097		hypothetical protein	1	0.521478421302417	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1067	Psest_1100		Type I site-specific restriction-modification system, R (restriction) subunit and related helicases	2	0.456545753138282	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1063	Psest_1096		hypothetical protein	3	0.450795039364664	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1531	Psest_1568		hypothetical protein	4	0.398501813688805	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF4224	Psest_4297		PAS domain S-box	5	0.395027410810084	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF2683	Psest_2737		Restriction endonuclease	6	0.391390424979211	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF722	Psest_0736		Methyl-accepting chemotaxis protein	7	0.389813426144637	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1065	Psest_1098		Restriction endonuclease S subunits	8	0.38288100148213	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF787	Psest_0801		CBS-domain-containing membrane protein	9	0.381036374284876	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF2384	Psest_2432		Uncharacterized protein conserved in bacteria	10	0.371498869523608	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF758	Psest_0772		Cytochrome c553	11	0.365888684410235	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF230	Psest_0231		phosphoesterase, MJ0936 family	12	0.360361006149553	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF554	Psest_0559		Sortase and related acyltransferases	13	0.349356546136613	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1893	Psest_1934		Predicted thioesterase	14	0.347328978402233	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1733	Psest_1771		hypothetical protein	15	0.346691700815183	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF2378	Psest_2426		PAS domain S-box	16	0.346191572373945	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1130	Psest_1163		diguanylate cyclase (GGDEF) domain	17	0.344856569761692	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF139	Psest_0139		ABC-type histidine transport system, ATPase component	18	0.344290656698229	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF1155	Psest_1188		FOG: EAL domain	19	0.344211479629774	FALSE
psRCH2	GFF1002	Psest_1035		hypothetical protein	GFF2118	Psest_2161		Metal-dependent hydrolase	20	0.343921375935181	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF2528	Psest_2578		O-succinylhomoserine sulfhydrylase	1	0.820664730365302	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF278	Psest_0279		methionine biosynthesis protein MetW	2	0.801546249915052	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF279	Psest_0280		homoserine O-acetyltransferase	3	0.801177539833971	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF312	Psest_0313		5,10-methylenetetrahydrofolate reductase, prokaryotic form	4	0.800587250606932	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF2539	Psest_2589		3-isopropylmalate dehydrogenase	5	0.797096777235635	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF153	Psest_0153		imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	6	0.796233461948229	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF3235	Psest_3298		histidinol dehydrogenase	7	0.794568548676034	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF3236	Psest_3299		ATP phosphoribosyltransferase	8	0.793153003793543	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF3795	Psest_3864		HAD-superfamily subfamily IB hydrolase, TIGR01490	9	0.791968209515109	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF2541	Psest_2591		3-isopropylmalate dehydratase, large subunit	10	0.791598653724892	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF3797	Psest_3866		threonine ammonia-lyase, biosynthetic, long form	11	0.789114320549603	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF155	Psest_0155		phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	12	0.786332361733975	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF673	Psest_0687		ATP phosphoribosyltransferase, regulatory subunit	13	0.770724109635056	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF324	Psest_0325		Putative threonine efflux protein	14	0.77046306187265	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF3320	Psest_3384		glutamate 5-kinase	15	0.766903160355377	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF325	Psest_0326		Taurine catabolism dioxygenase TauD, TfdA family.	16	0.764398541712009	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF152	Psest_0152		Imidazoleglycerol-phosphate dehydratase	17	0.763117257368722	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF1734	Psest_1772		Aspartate/tyrosine/aromatic aminotransferase	18	0.754177032296172	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF503	Psest_0508		gamma-glutamyl phosphate reductase	19	0.747501864592686	FALSE
psRCH2	GFF1004	Psest_1037		acetolactate synthase, small subunit	GFF2540	Psest_2590		3-isopropylmalate dehydratase, small subunit	20	0.746898302484901	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF1008	Psest_1041		Predicted membrane protein	1	0.391415391322683	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF2136	Psest_2179		DNA ligase D	2	0.353889495542253	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF510	Psest_0515		rare lipoprotein A	3	0.313404956208007	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF2324	Psest_2372		Integral membrane protein, interacts with FtsH	4	0.303589991070723	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF171	Psest_0172		Uncharacterized protein conserved in bacteria	5	0.299317693134073	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF4040	Psest_4113		hypothetical protein	6	0.299162494213903	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF4102	Psest_4175		Flagellar motor switch/type III secretory pathway protein	7	0.297822521139345	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF1252	Psest_1285		hypothetical protein	8	0.297348903382388	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF3690	Psest_3758		Adenylate cyclase	9	0.297304265536535	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF180	Psest_0181		glycine cleavage system T protein	10	0.291917118199975	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF2384	Psest_2432		Uncharacterized protein conserved in bacteria	11	0.282992155390125	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF3677	Psest_3745		Uncharacterized enzyme of heme biosynthesis	12	0.280851452713335	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF1588	Psest_1625		hypothetical protein	13	0.280815063956331	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF297	Psest_0298		Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	14	0.275957702361959	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF2818	Psest_2874		Predicted acyltransferases	15	0.275871115089601	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF2839	Psest_2895		Uncharacterized conserved protein	16	0.262751928542872	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF2846	Psest_2902		hypothetical protein	17	0.261442324039755	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF1089	Psest_1122		Protein of unknown function (DUF1302).	18	0.259929136099008	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF1598	Psest_1635		Signal transduction histidine kinase	19	0.256758408798819	FALSE
psRCH2	GFF1007	Psest_1040		Sulfite oxidase and related enzymes	GFF3847	Psest_3916		hypothetical protein	20	0.256388648235538	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF613	Psest_0626		hypothetical protein	1	0.740196363790962	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF3947	Psest_4017		hypothetical protein	2	0.720780079496499	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF614	Psest_0627		Superfamily I DNA and RNA helicases	3	0.708380069895916	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF863	Psest_0879		Transcriptional regulator	4	0.707368758655991	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF604	Psest_0615		RND family efflux transporter, MFP subunit	5	0.687499147205627	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF605	Psest_0616		heavy metal efflux pump (cobalt-zinc-cadmium)	6	0.681004002422048	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF866	Psest_0884		Toxin with endonuclease activity YhaV.	7	0.665729546063024	FALSE
psRCH2	GFF1008	Psest_1041		Predicted membrane protein	GFF3973	Psest_4046		hypothetical protein	8	0.66116899910772	FALSE
