orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_4783			Aliphatic amidase AmiE (EC 3.5.1.4)	1	0.417139786069919	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_3367			Probable carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23)	2	0.409607106337079	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_1912			FIG00954271: hypothetical protein	3	0.409236279587895	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_2977			Transcriptional regulator in custer with plant-induced nitrilase	4	0.404402389806621	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_1362			Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	5	0.39859910143097	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_633			Sodium-dependent phosphate transporter	6	0.394086324606238	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_2456			Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	7	0.393938990729611	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_4784			transcriptional regulator, LuxR family	8	0.391320317545807	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_3276			BatA (Bacteroides aerotolerance operon)	9	0.390958813545538	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_4087			Guanine deaminase (EC 3.5.4.3)	10	0.386030889105216	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_2376			Peptide synthetase	11	0.384176656530964	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_5218			tRNA-Pro-GGG	12	0.381813029521246	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_4460			Peptidyl-prolyl cis-trans isomerase PpiA precursor (EC 5.2.1.8)	13	0.381639756133401	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_1531			Rieske 2Fe-2S family protein	14	0.380499289189351	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_3837			Dihydroneopterin triphosphate pyrophosphohydolase, putative, Actinobacterial type, NudB-like	15	0.373815936747442	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_3408			3-ketoacyl-CoA thiolase (EC 2.3.1.16)	16	0.372942476472881	FALSE
pseudo13_GW456_L13	PfGW456L13_10			FIG00954047: hypothetical protein	PfGW456L13_4566			LemA family protein	17	0.370073736022114	FALSE
