orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_1315			IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	1	0.568136483325781	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_5666			Oxidoreductase probably involved in sulfite reduction	2	0.553722226072797	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_2282			Phosphoserine phosphatase (EC 3.1.3.3)	3	0.547548033962984	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_1627			Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	4	0.543730995232016	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_3081			[Protein-PII] uridylyltransferase (EC 2.7.7.59)	5	0.519135055509978	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_2112			Bona fide RidA/YjgF/TdcF/RutC subgroup	6	0.517858258540139	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_1625			FIG00956267: hypothetical protein	7	0.515617232826641	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_3506			Cysteine synthase B (EC 2.5.1.47)	8	0.514870978413366	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_5113			Maltose/maltodextrin ABC transporter, permease protein MalF	9	0.512187215714828	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_27			Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	10	0.509948324962746	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_777			Membrane protein glpM	11	0.509468914274399	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_350			Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)	12	0.504260748666435	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_3501			BarA sensory histidine kinase (= VarS = GacS)	13	0.502520663044113	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_1024			Fumarylacetoacetase (EC 3.7.1.2)	14	0.502238811381269	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_5665			Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	15	0.496676424751147	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_3451			Aspartokinase (EC 2.7.2.4)	16	0.490962242492901	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_1626			Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	17	0.486818192407116	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_2377			Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	18	0.485452118801237	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_5466			Site-specific recombinase, phage integrase family	19	0.484799773940685	FALSE
pseudo1_N1B4	Pf1N1B4_1			Colicin V production protein	Pf1N1B4_2280			Threonine dehydratase biosynthetic (EC 4.3.1.19)	20	0.479119959022839	FALSE
pseudo1_N1B4	Pf1N1B4_10			Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	Pf1N1B4_5312			Putative activity regulator of membrane protease YbbK	1	0.505686487826066	FALSE
