orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_00025	AO356_00025		sugar ABC transporter substrate-binding protein	1	0.920971459255007	TRUE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_00020	AO356_00020		sugar ABC transporter permease	2	0.880037807233081	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_00015	AO356_00015		sugar ABC transporter permease	3	0.877847852488069	TRUE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_00030	AO356_00030		AraC family transcriptional regulator	4	0.799836099654207	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_00035	AO356_00035		sugar kinase	5	0.792173840337043	TRUE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_26515	AO356_26515		thioester reductase	6	0.244999422871425	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_10920	AO356_10920		LysR family transcriptional regulator	7	0.241357260291957	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_01220	AO356_01220		hypothetical protein	8	0.239090834747205	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_05225	AO356_05225		glyceraldehyde-3-phosphate dehydrogenase	9	0.237014994465122	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_15210	AO356_15210		ethanolamine ammonia-lyase	10	0.221667811055237	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_02615	AO356_02615		hypothetical protein	11	0.220325422956422	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_13700	AO356_13700		hypothetical protein	12	0.216633629172703	FALSE
pseudo5_N2C3_1	AO356_00010	AO356_00010		ABC transporter ATP-binding protein	AO356_29420	AO356_29420		1-aminocyclopropane-1-carboxylate deaminase	13	0.214597154292484	FALSE
