orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_3348			hypothetical protein	1	0.385712923219072	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_4317			FIG00964469: hypothetical protein	2	0.379295886290275	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_2079			HTH-type transcriptional regulator hdfR	3	0.342581554652388	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_6068			FIG014801: Cation ABC transporter, periplasmic cation-binding protein	4	0.331747706008563	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_3161			hypothetical protein	5	0.328429114080518	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_2276			Permeases of the major facilitator superfamily	6	0.328242625452062	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_439			FIG00958580: hypothetical protein	7	0.327536439986426	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_2341			Benzoate transport protein	8	0.324447027209954	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1557			hypothetical protein	9	0.31777966677914	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1543			Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	10	0.314944665744168	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_5434			hypothetical protein	11	0.31217294986217	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1514			lipoprotein OprI, putative	12	0.309998283429139	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_5453			hypothetical protein	13	0.30466768341198	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_939			hypothetical protein	14	0.303952397220034	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1919			Aldehyde dehydrogenase (EC 1.2.1.3)	15	0.298471047084021	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_764			Fap amyloid fiber secretin	16	0.293097565847506	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1313			2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	17	0.292605710481614	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1219			FIG00955186: hypothetical protein	18	0.289419836500324	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1664			Nitrate/nitrite transporter	19	0.289348715107096	FALSE
pseudo6_N2E2	Pf6N2E2_1			Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	Pf6N2E2_1099			Hypothetical protein GlcG in glycolate utilization operon	20	0.287200794341161	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_1307			5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68) / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	1	0.346604151348348	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_2532			Thioredoxin	2	0.341200603496959	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_5383			Poly(beta-D-mannuronate) C5 epimerase precursor (EC 5.1.3.-)	3	0.330065161816883	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_114			Polysaccharide biosynthesis protein	4	0.328377309982248	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_1060			Pirin	5	0.322554047287075	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_876			Cobalt-containing nitrile hydratase subunit beta (EC 4.2.1.84)	6	0.313263506668441	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_959			putative membrane protein	7	0.312891612408231	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_167			Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	8	0.307688005140355	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_929			Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, putative copper metallochaperone	9	0.306731517362756	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_2127			Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	10	0.305967289857533	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_5646			PROBABLE MEMBRANE PROTEIN	11	0.305642413022218	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_90			Lipoprotein, putative	12	0.304444174793539	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_5888			Putative NADP-dependent oxidoreductase PA1648	13	0.295887647659219	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_713			Nitric oxide -responding transcriptional regulator Dnr (Crp/Fnr family)	14	0.295602255995311	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_1762			putative lipase	15	0.294778083622508	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_5185			FIG00961017: hypothetical protein	16	0.291233636237196	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_1350			Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type	17	0.290997371418437	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_2152			hypothetical protein	18	0.289926184824042	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_1068			outer membrane autotransporter	19	0.285321193812926	FALSE
pseudo6_N2E2	Pf6N2E2_10			PvdE, pyoverdine ABC export system, fused ATPase and permease components	Pf6N2E2_184			Urea ABC transporter, permease protein UrtB	20	0.283128139827181	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_5924			Butyryl-CoA dehydrogenase (EC 1.3.99.2)	1	0.445553143144305	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_5283			N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	2	0.36239826532847	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_6007			Glutathione S-transferase (EC 2.5.1.18)	3	0.333887060075177	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_1423			Gamma-aminobutyrate permease	4	0.333107171231005	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_916			putative membrane protein	5	0.332790608092058	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_782			hypothetical protein	6	0.332615193414982	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_830			Long-chain fatty acid transport protein	7	0.325137271043379	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_3596			Large protein containing transglutaminase-like domain	8	0.323051671760828	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_491			hypothetical protein	9	0.322598392062762	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_3887			FIG001957: putative hydrolase	10	0.318926877454584	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_1383			YD repeat protein	11	0.317903135393486	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_839			Alkaline phosphatase (EC 3.1.3.1)	12	0.317362166625468	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_1148			Butyryl-CoA dehydrogenase (EC 1.3.99.2)	13	0.315753121244845	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_336			hypothetical protein	14	0.314701526807099	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_5604			Putative heme iron utilization protein	15	0.307396399843952	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_1233			ABC-type protease exporter, ATP-binding component PrtD/AprD	16	0.304420589022372	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_4900			Inner membrane protein YbhQ	17	0.304343042006987	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_781			Outer membrane autotransporter barrel	18	0.303409588655635	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_139			Two-component response regulator	19	0.303002883252388	FALSE
pseudo6_N2E2	Pf6N2E2_100			membrane protein, putative	Pf6N2E2_1840			Enoyl-CoA hydratase (EC 4.2.1.17)	20	0.29479566097325	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3932			D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1	0.457069914295329	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3839			Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	2	0.42536733833864	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3630			Phosphoserine phosphatase (EC 3.1.3.3)	3	0.416194409422254	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_71			Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	4	0.401308021759889	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3782			Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	5	0.400164058515792	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_4047			Tryptophan synthase alpha chain (EC 4.2.1.20)	6	0.396315738310622	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_4048			Tryptophan synthase beta chain (EC 4.2.1.20)	7	0.391557670081979	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3252			Histidinol dehydrogenase (EC 1.1.1.23)	8	0.389002954689522	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3170			2-isopropylmalate synthase (EC 2.3.3.13)	9	0.383871165815649	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_5728			Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	10	0.382539312552985	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_4564			Dihydroxy-acid dehydratase (EC 4.2.1.9)	11	0.380763193366356	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_4825			Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	12	0.380085045763663	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_4826			Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	13	0.379563576531098	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_5177			Ketol-acid reductoisomerase (EC 1.1.1.86)	14	0.37899017132773	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3783			Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	15	0.375092286395326	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_4009			GGDEF domain protein	16	0.368466763977709	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_5176			Acetolactate synthase small subunit (EC 2.2.1.6)	17	0.367700895984484	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3933			D-2-hydroxyglutarate dehydrogenase	18	0.366452058596381	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_3842			Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	19	0.365623790799284	FALSE
pseudo6_N2E2	Pf6N2E2_1000			hypothetical protein	Pf6N2E2_5175			Acetolactate synthase large subunit (EC 2.2.1.6)	20	0.362420353088669	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_1002			Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	1	0.915059013000145	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_804			Fructokinase (EC 2.7.1.4)	2	0.819137675763636	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_806			Multiple polyol-specific dehydrogenase (EC 1.1.1.-)	3	0.715954507957835	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_805			Xylulose kinase (EC 2.7.1.17)	4	0.699403743961545	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_4357			Nucleoside-diphosphate-sugar epimerases	5	0.556739935003741	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_4776			Coenzyme PQQ synthesis protein F	6	0.507632539843981	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_510			Predicted transcriptional regulator of the myo-inositol catabolic operon	7	0.507328196187976	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_1959			Multiple polyol-specific dehydrogenase (EC 1.1.1.-)	8	0.501314057961937	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_1387			Cytochrome C550 (Soluble cytochrome C)	9	0.456405904113606	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_1392			sensor histidine kinase	10	0.430051444332383	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_4774			Pyrroloquinoline-quinone synthase (EC 1.3.3.11)	11	0.426147576563652	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_1389			Quino(hemo)protein alcohol dehydrogenase, PQQ-dependent (EC 1.1.99.8)	12	0.420455150081724	FALSE
pseudo6_N2E2	Pf6N2E2_1001			4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Pf6N2E2_1379			Sensory box histidine kinase/response regulator	13	0.418606351497711	FALSE
